Shoes	Skirts	Shirts	weapons
s	s	s	s
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/skirt/skirt_s06.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/weapon/ranged/carbine/carbine_dxr6.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/skirt/skirt_s07.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/weapon/ranged/carbine/carbine_ee3.iff
object/tangible/wearables/shoes/shoes_s03.iff	object/tangible/wearables/skirt/skirt_s06.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/skirt/skirt_s07.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/weapon/ranged/carbine/carbine_laser.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/skirt/skirt_s06.iff	object/tangible/wearables/shirt/shirt_s15.iff	object/weapon/ranged/pistol/pistol_cdef.iff
			object/weapon/ranged/pistol/pistol_d18.iff
			object/weapon/ranged/pistol/pistol_fwg5.iff
			object/weapon/ranged/pistol/pistol_striker.iff
			object/weapon/ranged/pistol/pistol_scout_blaster.iff
