species_male	species_female	species_name
s	s	s
aqualish_male	aqualish_female	aqualish
aqualish_s02_male	aqualish_s02_female	aqualish
aqualish_s03_male	aqualish_s03_female	aqualish
bith_male	aqualish_female	bith
bith_male	aqualish_s02_female	bith
bith_male	aqualish_s03_female	bith
devaronian_male	aqualish_female	devaronian
devaronian_male	aqualish_s02_female	devaronian
devaronian_male	aqualish_s03_female	devaronian
gran_male	aqualish_female	gran
gran_male	aqualish_female	gran
gran_male	aqualish_female	gran
ishi_tib_male	aqualish_female	ishi_tib
ishi_tib_male	aqualish_s02_female	ishi_tib
ishi_tib_male	aqualish_s03_female	ishi_tib
ithorian_male	aqualish_female	ithorian
ithorian_male	aqualish_s02_female	ithorian
ithorian_male	aqualish_s03_female	ithorian
nikto_male	bith_female	nikto
nikto_male	bith_female	nikto
nikto_male	bith_female	nikto
quarren_male	bith_female	quarren
quarren_male	bith_female	quarren
quarren_male	bith_female	quarren
sullustan_male	bith_female	sullustan
sullustan_male	bith_female	sullustan
sullustan_male	bith_female	sullustan
weequay_male	bith_female	weequay
weequay_male	bith_female	weequay
weequay_male	bith_female	weequay
