species_male	species_female	species_name
s	s	s
dressed_ewok_m_01	dressed_ewok_f_01	ewok
dressed_ewok_m_02	dressed_ewok_f_02	ewok
dressed_ewok_m_03	dressed_ewok_f_03	ewok
dressed_ewok_m_04	dressed_ewok_f_04	ewok
dressed_ewok_m_05	dressed_ewok_f_05	ewok
dressed_ewok_m_06	dressed_ewok_f_06	ewok
dressed_ewok_m_07	dressed_ewok_f_07	ewok
dressed_ewok_m_08	dressed_ewok_f_08	ewok
dressed_ewok_m_09	dressed_ewok_f_09	ewok
dressed_ewok_m_10	dressed_ewok_f_10	ewok
dressed_ewok_m_11	dressed_ewok_f_11	ewok
dressed_ewok_m_12	dressed_ewok_f_12	ewok
