costume_command	costume_buff	costume_component
s	s	s[none]
costume_loveday_ewok_cupid	costume_loveday_ewok_cupid	item_costume_kit_holiday
costume_jawa	costume_jawa	item_costume_kit
costume_gungan	costume_gungan	item_costume_kit
costume_ewok	costume_ewok	item_costume_kit
costume_gamorrean_guard	costume_gamorrean_guard	item_costume_kit
costume_battle_droid	costume_battle_droid	item_costume_kit
costume_droideka	costume_droideka	item_costume_kit
costume_monkey_lizard	costume_monkey_lizard	item_costume_kit
costume_toydarian	costume_toydarian	item_costume_kit
costume_4lom	costume_4lom	item_costume_kit
costume_dantari_m	costume_dantari_m	item_costume_kit
costume_dantari_f	costume_dantari_f	item_costume_kit
costume_muftak	costume_muftak	item_costume_kit
costume_royal_guard	costume_royal_guard	item_costume_kit
costume_droid_8t88	costume_droid_8t88	item_costume_kit
costume_darktrooper	costume_darktrooper	item_costume_kit
costume_mustafarian_01	costume_mustafarian_01	item_costume_kit
costume_chevin	costume_chevin	item_costume_kit
costume_ig106	costume_ig106	item_costume_kit
costume_super_battle_droid	costume_super_battle_droid	item_costume_kit
costume_spider_droid	costume_spider_droid	item_costume_kit
costume_undead_wookie	costume_undead_wookie	item_costume_kit
costume_burning_ewok	costume_burning_ewok	item_costume_kit
costume_chiss_01	costume_chiss_01	item_costume_kit
costume_exar_kun_cultist	costume_exar_kun_cultist	item_costume_kit
costume_lifeday_monkey_lizard	costume_lifeday_monkey_lizard	item_costume_kit_holiday
