strCreatureType	strDetailTemplate	intMinDifficulty	intMaxDifficulty	intRewardPerKill
s	s	i	i	i
huurton	huurton_hue.iff	50	60	36
quenker	quenker_hue.iff	50	60	44
voritor_lizard	voritor_lizard_hue.iff	50	60	44
huurton_howler	huurton_hue.iff	50	60	48
infant_graul	graul_hue.iff	50	60	50
bol_pack_runner	bol_hue.iff	50	60	26
thune	thune_hue.iff	50	60	26
huurton_matron	huurton_hue.iff	50	60	52
savage_quenker	quenker_hue.iff	50	60	52
huurton_huntress	huurton_hue.iff	50	60	56
bol	bol_hue.iff	50	60	30
piket	piket_hue.iff	50	60	30
piket_longhorn_female	piket_hue.iff	50	60	30
hostile_thune_mother	thune_hue.iff	50	60	30
voritor_dasher	voritor_lizard_hue.iff	50	60	60
graul	graul_hue.iff	50	60	60
piket_plains_walker	piket_hue.iff	60	70	32
huurton_stalker	huurton_hue.iff	60	70	66
bile_drenched_quenker	quenker_hue.iff	60	70	68
graul_mauler	graul_hue.iff	60	70	68
piket_longhorn	piket_hue.iff	60	70	35
quenker_ravager	quenker_hue.iff	60	70	76
seething_bol_crusher	bol_hue.iff	60	70	40
thune_grassland_guardian	thune_hue.iff	60	70	40
quenker_relic_reaper	quenker_hue.iff	60	70	80
grassland_voritor_tracker	voritor_lizard_hue.iff	60	70	80
fierce_piket_protector	piket_hue.iff	60	70	42
ancient_graul	graul_hue.iff	60	70	90
thune_herd_leader	thune_hue.iff	60	70	46
horned_voritor_jungle_lizard	voritor_lizard_hue.iff	60	70	100
vexed_voritor_lizard	voritor_lizard_hue.iff	60	70	100
frenzied_graul	graul_hue.iff	60	70	100
slinking_voritor_hunter	voritor_lizard_hue.iff	60	70	110
