strCreatureType	strDetailTemplate	intMinDifficulty	intMaxDifficulty	intRewardPerKill
s	s	i	i	i
female_slice_hound	corellian_slice_hound_hue.iff	20	30	16
diseased_vrelt	stintaril_hue.iff	20	30	16
giant_gubbur	gubbur_hue.iff	20	30	9
krahbu	krahbu_hue.iff	20	30	9
murra	murra_hue.iff	20	30	9
dalyrake	dalyrake_hue.iff	20	30	18
slice_hound	corellian_slice_hound_hue.iff	20	30	18
bageraset	bageraset_hue.iff	20	30	10
canoid	boar_wolf_hue.iff	20	30	20
carrion_spat	carrion_spat_hue.iff	20	30	20
female_dire_cat	narglatch_hue.iff	20	30	20
female_forest_slice_hound	corellian_slice_hound_hue.iff	20	30	20
giant_horned_krevol	horned_krevol_hue.iff	20	30	20
mutated_krevol_clicker	horned_krevol_hue.iff	20	30	20
forest_murra	murra_hue.iff	20	30	11
majestic_plumed_rasp	plumed_rasp_hue.iff	20	30	11
tabage	langlatch_hue.iff	20	30	22
violent_krahbu	krahbu_hue.iff	20	30	22
gulginaw	gulginaw_hue.iff	20	30	12
female_grassland_slice_hound	corellian_slice_hound_hue.iff	20	30	24
rogue_bageraset	bageraset_hue.iff	20	30	24
swamp_gurrcat	tusk_cat_hue.iff	20	30	24
wrix	gurreck_hue.iff	20	30	24
dire_cat	narglatch_hue.iff	20	30	26
grassland_slice_hound	corellian_slice_hound_hue.iff	20	30	26
tabage_scavenger	langlatch_hue.iff	30	40	26
canoid_hunter	boar_wolf_hue.iff	30	40	28
corellian_butterfly_warrior	corellian_butterfly_hue.iff	30	40	28
forest_slice_hound	corellian_slice_hound_hue.iff	30	40	28
dalyrake_harvester	dalyrake_hue.iff	30	40	30
mountain_murra	murra_hue.iff	30	40	16
devil_gulginaw	gulginaw_hue.iff	30	40	32
humbaba	falumpaset_hue.iff	30	40	17
canoid_pack_leader	boar_wolf_hue.iff	30	40	34
giant_carrion_spat	carrion_spat_hue.iff	30	40	34
deranged_wrix	gurreck_hue.iff	30	40	34
tabage_protector	langlatch_hue.iff	30	40	34
corellian_butterfly_defender	corellian_butterfly_hue.iff	30	40	36
dalyrake_matriarch	dalyrake_hue.iff	30	40	36
giant_dalyrake	dalyrake_hue.iff	30	40	36
gronda	gronda_hue.iff	30	40	36
mottled_wrix	gurreck_hue.iff	30	40	36
corellian_butterfly_monarch	corellian_butterfly_hue.iff	30	40	38
swamp_humbaba	falumpaset_hue.iff	30	40	20
greater_gulginaw	gulginaw_hue.iff	30	40	40
war_gronda	gronda_hue.iff	30	40	42
sand_panther	corellian_sand_panther_hue.iff	30	40	42
female_sand_panther	corellian_sand_panther_hue.iff	30	40	44
grand_wrix	gurreck_hue.iff	30	40	44
savage_humbaba	falumpaset_hue.iff	30	40	48
crimson_sand_panther	corellian_sand_panther_hue.iff	30	40	52
sharnaff	sharnaff_hue.iff	30	40	29
sharnaff_bull	sharnaff_hue.iff	30	40	35
