strCreatureType	strDetailTemplate	intMinDifficulty	intMaxDifficulty	intRewardPerKill
s	s	i	i	i
mott	mott_hue.iff	20	30	8
spineflap_gatherer	capper_spineflap_hue.iff	20	30	18
hermit_spider_guard	hermit_spider_hue.iff	20	30	18
sentry_hermit_spider	hermit_spider_hue.iff	20	30	18
veermok_sentry	veermok_hue.iff	20	30	18
kaadu	kaadu_hue.iff	20	30	10
hermit_spider_queen	hermit_spider_hue.iff	20	30	20
spiked_krevol	horned_krevol_hue.iff	20	30	20
gualama	gualama_hue.iff	20	30	11
mott_bull	mott_hue.iff	20	30	11
kaadu_female	kaadu_hue.iff	20	30	12
veermok	veermok_hue.iff	20	30	24
bachelor_gualama	gualama_hue.iff	20	30	13
carnivorous_nuna	nuna_hue.iff	20	30	26
veermok_scout	veermok_hue.iff	20	30	26
dappled_gualama	gualama_hue.iff	20	30	14
kaadu_male	kaadu_hue.iff	20	30	14
maverick_gualama	gualama_hue.iff	20	30	14
mountain_krevol	horned_krevol_hue.iff	20	30	14
spineflap_soldier	capper_spineflap_hue.iff	20	30	28
knotted_krevol	horned_krevol_hue.iff	20	30	28
peko_peko	peko_peko_hue.iff	20	30	28
greater_shaupaut	shaupaut_hue.iff	20	30	28
spineflap_handmaiden	capper_spineflap_hue.iff	20	30	30
mountain_ikopi	ikopi_hue.iff	30	40	16
female_swamp_tusk_cat	tusk_cat_hue.iff	30	40	32
male_swamp_tusk_cat	tusk_cat_hue.iff	30	40	32
female_great_grass_plains_tusk_cat	tusk_cat_hue.iff	30	40	32
male_great_grass_plains_tusk_cat	tusk_cat_hue.iff	30	40	32
veermok_guard	veermok_hue.iff	30	40	32
veermok_hunter	veermok_hue.iff	30	40	34
falumpaset	falumpaset_hue.iff	30	40	18
rogue_falumpaset	falumpaset_hue.iff	30	40	18
spineflap_guard	capper_spineflap_hue.iff	30	40	36
veermok_cannibal	veermok_hue.iff	30	40	36
vine_rawl	fanned_rawl_hue.iff	30	40	36
alpha_veermok	veermok_hue.iff	30	40	38
giant_veermok	veermok_hue.iff	30	40	40
narglatch	narglatch_hue.iff	30	40	42
shaupaut_hunter	shaupaut_hue.iff	30	40	42
giant_peko_peko	peko_peko_hue.iff	30	40	44
narglatch_female	narglatch_hue.iff	30	40	44
spitting_rawl	fanned_rawl_hue.iff	30	40	44
bolle_bol	bolle_bol_hue.iff	30	40	26
fambaa	fambaa_hue.iff	30	40	34
rogue_fambaa	fambaa_hue.iff	30	40	37
