scene	area	clone_scene	clone_area	restrict_bind_facility
s	s	s	s	i[0]
tatooine		tatooine		
naboo		naboo		
rori		rori		
corellia		corellia		
talus		talus		
lok		lok		
yavin4		yavin4		
endor		endor		
dantooine		dantooine		
dathomir		dathomir		
kashyyyk_main		kashyyyk_main		
kashyyyk_hunting		kashyyyk_hunting		
kashyyyk_hunting		kashyyyk_main		
kashyyyk_dead_forest		kashyyyk_dead_forest		
kashyyyk_dead_forest		kashyyyk_main		
kashyyyk_rryatt_trail		kashyyyk_rryatt_trail	kashyyyk_rryatt_trail_lvl_1_and_2	
kashyyyk_rryatt_trail		kashyyyk_main		
kashyyyk_north_dungeons	arena	kashyyyk_dead_forest		
kashyyyk_north_dungeons	slaver	kashyyyk_north_dungeons	slaver	
kashyyyk_north_dungeons	slaver	kashyyyk_main		
kashyyyk_south_dungeons	hracca	kashyyyk_south_dungeons	hracca	
kashyyyk_south_dungeons	hracca	kashyyyk_hunting		
kashyyyk_south_dungeons	bocctyyy	kashyyyk_south_dungeons	bocctyyy	
kashyyyk_south_dungeons	bocctyyy	kashyyyk_hunting		
kashyyyk_pob_dungeons	avatar_platform	kashyyyk_pob_dungeons	avatar_platform	
kashyyyk_pob_dungeons	myyydril_caverns	kashyyyk_pob_dungeons	myyydril_caverns	
kashyyyk_pob_dungeons	myyydril_caverns	kashyyyk_dead_forest		
mustafar		mustafar		
dungeon1		dungeon1		
dungeon1	npe_shared_station	dungeon1	npe_shared_station	1
dungeon1	npe_dungeon	dungeon1	npe_dungeon	1
dungeon1	heroic_axkva_min	dathomir		
dungeon1	heroic_ig88	lok		
adventure1	heroic_tusken_army	tatooine		
dungeon1	heroic_star_destroyer	dungeon1	heroic_star_destroyer	
dungeon1	nova_orion_station	dungeon1	nova_orion_station	
dungeon1	heroic_exar_kun	yavin4		
dungeon1	mtp_hideout_instance	corellia		
adventure2	echo_base	adventure2	echo_base	
