INDEX	ENUM	CLASS 1	CLASS 2	CLASS 3	CLASS 4	CLASS 5	CLASS 6	CLASS 7	CLASS 8	Maximum # types	Minimum # types	Minimum # Pools	Maximum # Pools	Recycled	Permanent	Attribute 1	Attribute 2	Attribute 3	Attribute 4	Attribute 5	Attribute 6	Attribute 7	Attribute 8	Attribute 9	Attribute 10	Attribute 11	Att 1 min	Att 1 max	Att 2 min	Att 2 max	Att 3 min	Att 3 max	Att 4 min	Att 4 max	Att 5 min	Att 5 max	Att 6 min	Att 6 max	Att 7 min	Att 7 max	Att 8 min	Att 8 max	Att 9 min	Att 9 max	Att 10 min	Att 10 max	Att 11 min	Att 11 max	Resource Container Type	Random Name Class
i	s	s	s	s	s	s	s	s	s	i	i	i	i	b[0]	b[0]	s	s	s	s	s	s	s	s	s	s	s	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	s	s
1	resource	Resources								690	658					res_decay_resist	res_quality	res_flavor	res_potential_energy	res_malleability	res_toughness	res_shock_resistance	res_cold_resist	res_heat_resist	res_conductivity	entangle_resistance	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000		plain_resource
2	organic		Organic							466	466					res_decay_resist	res_quality	res_flavor	res_potential_energy	res_malleability	res_toughness	res_shock_resistance					1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000										plain_resource
3	creature_resources			Creature Resources						246	246					res_decay_resist	res_quality	res_flavor	res_potential_energy	res_malleability	res_toughness	res_shock_resistance					1	1000	1	1000	1	1000	1	1000	1	1000	1	1000	1	1000									object/resource_container/organic_food.iff	plain_resource
4	creature_food				Creature Food					159	159					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
5	milk					Milk				25	25					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
905	milk_homogenized						Homogenized Milk			1	1	1	1	1		res_decay_resist	res_quality	res_flavor	res_potential_energy								200	200	200	200	200	200	200	200															object/resource_container/organic_food.iff	plain_resource
6	milk_domesticated						Domesticated Milk			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
7	milk_domesticated_corellia							Corellian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
8	milk_domesticated_dantooine							Dantooine Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
