ALARM	X	Y	Z	YAW	CELL
s	f[0]	f[0]	f[0]	f[0]	s[WORLD_DELTA]
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-3.6	3.7	3.2	0	hall1
object/tangible/faction_perk/faction_base_item/alarm_hack.iff	1.4	3.6	2.8	-90	hall1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-3.7	3.7	-4.7	0	hall1
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	-5.2	3.4	-0.8	90	hall1
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	3.5	4.1	-5.3	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0	3.5	-5.5	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	3.4	-9.8	-0.7	0	landing
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	2.1	-10.2	0.7	90	landing
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	3.2	-9	8.9	0	room3
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	-1.5	-10.3	10.5	180	room3
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-8.5	-9	9	0	room3
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	1.5	-15.8	3.6	0	foyer
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	5.5	-16.5	9	-90	foyer
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	1.5	-15.8	10.5	0	foyer
