ALARM	X	Y	Z	YAW	CELL
s	f[0]	f[0]	f[0]	f[0]	s[WORLD_DELTA]
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-3.6	3.7	3.2	0	hall1
object/tangible/faction_perk/faction_base_item/alarm_hack.iff	1.4	3.6	2.8	-90	hall1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-3.7	3.7	-4.7	0	hall1
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	-5.2	3.4	-0.8	90	hall1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	3.5	4.1	-5.3	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0	3.5	-5.5	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-4.5	-1.7	-8.3	0	room1
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	-0.5	-3	-3.6	-90	room1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-4.5	-1.7	-0.9	0	room1
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-8.2	-2.1	-15	0	room2
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0.8	-3	-11.8	180	room2
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	9.1	-2.1	-15	0	room2
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	5.5	-1.7	-0.9	0	room3
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	1.5	-2.8	-4.8	90	room3
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	5.5	-1.7	-8.2	0	room3
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-2.5	-8.9	-13.7	0	basement
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	-2.5	-9.7	3.4	180	basement
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-2.5	-8.9	1.2	0	basement
