ALARM	X	Y	Z	YAW	CELL
s	f[0]	f[0]	f[0]	f[0]	s[WORLD_DELTA]
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	0	4.1	1.8	0	hall1
object/tangible/faction_perk/faction_base_item/alarm_hack.iff	5.2	3.2	3	-90	hall1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-3.5	4.2	-5.5	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0	3.3	-5.3	0	hall2
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	4.5	-1.7	-8.3	0	room1
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0.8	-3	-5	90	room1
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	4.5	-1.7	-0.9	0	room1
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-3.5	-8.7	5.6	0	room2
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	0.5	-9.6	-3.5	-90	room2
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	-3.5	-8.7	-12.6	0	room2
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	-7.6	-9.1	12	0	hallway
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	1.8	-10	8.8	0	hallway
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	10.2	-9.1	12	0	hallway
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	15.5	-9.1	-1.8	0	foyer
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	18.7	-9.7	7	-90	foyer
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	15.5	-9.1	15.7	0	foyer
object/tangible/faction_perk/faction_base_item/alarm_destruct.iff	15.5	-3.6	-5	0	core
object/tangible/faction_perk/faction_base_item/alarm_hack_no_sound.iff	15.5	-9.8	-3.8	180	core
object/tangible/faction_perk/faction_base_item/alarm_destruct_no_sound.iff	15.5	-3.6	-21.7	0	core
