reservedName	reason	matchWholeName
s	s	b
\*dev\*	name_declined_developer	
[^A-Za-z0-9 '-]	name_declined_syntax	1
.* .* .*	name_declined_syntax	1
"(f|ff|ph|pf)[uv]+[ck]{1,3}"	name_declined_profane	
"^a[sz]{1,3}"	name_declined_profane	
^[ck][uv]+nt	name_declined_profane	
"^[ck]o[ck]{1,3}"	name_declined_profane	
"(d|pr)[il]+[ck]{1,3}"	name_declined_profane	
b[il]+tch	name_declined_profane	
w?[hj]ore	name_declined_profane	
"[szc]{1,3}h[il]+t"	name_declined_profane	
^f.ck$	name_declined_profane	
^sh.t$	name_declined_profane	
^labia$	name_declined_profane	
^jew$	name_declined_profane
^negro$	name_declined_profane
^nazi$	name_declined_profane
^nigger$	name_declined_profane
^spick$	name_declined_profane
^kike$	name_declined_profane
^fag$	name_declined_profane
^faggot$	name_declined_profane
^hooker$	name_declined_profane
^tit$	name_declined_profane
^boob$	name_declined_profane
[ck][uv]+n+[iy]	name_declined_profane
mother	name_declined_reserved
father	name_declined_reserved
^elder$	name_declined_reserved
^man$	name_declined_reserved
^woman$	name_declined_reserved
^male$	name_declined_reserved
^female$	name_declined_reserved
darth	name_declined_reserved
jedi	name_declined_reserved
master	name_declined_reserved
padawan	name_declined_reserved
^lord$	name_declined_reserved
knight	name_declined_reserved
rebel	name_declined_reserved
imperial	name_declined_reserved
royal	name_declined_reserved
guard	name_declined_reserved
killer	name_declined_reserved
trooper	name_declined_reserved
[ei]mp[oea]r[oea]r	name_declined_reserved
king	name_declined_reserved
queen	name_declined_reserved
dictator	name_declined_reserved
chancellor	name_declined_reserved
senator	name_declined_reserved
governor	name_declined_reserved
mayor	name_declined_reserved
count	name_declined_reserved
countess	name_declined_reserved
duchess	name_declined_reserved
^lady$	name_declined_reserved
prince	name_declined_reserved
president	name_declined_reserved
deputy	name_declined_reserved
sheriff	name_declined_reserved
madame	name_declined_reserved
^sir$	name_declined_reserved
^miss$	name_declined_reserved
^misses$	name_declined_reserved
^hit$	name_declined_reserved
^hits$	name_declined_reserved
^the$	name_declined_reserved
^thee$	name_declined_reserved
^grand$	name_declined_reserved
^moff$	name_declined_reserved
baron	name_declined_reserved
^prime$	name_declined_reserved
^minister$	name_declined_reserved
^primeminister$	name_declined_reserved
"^pr[ie]{1,3}m[ie]{1,3}r$"	name_declined_reserved
inquisitor	name_declined_reserved
director	name_declined_reserved
admiral	name_declined_reserved
commodore	name_declined_reserved
captain	name_declined_reserved
commander	name_declined_reserved
lieutenant	name_declined_reserved
commander	name_declined_reserved
ensign	name_declined_reserved
chief	name_declined_reserved
officer	name_declined_reserved
