consonant	placement	plain_resource	energy_resource	mineral_resource	reactive_gas_resource
s	s	I	I	I	I
b	bme	100	100	100	100
bl	bm	5	5	1	5
br	bm	10	10	1	10
c	bme	100	100	100	100
cc	e	5	5	1	5
ch	bme	10	10	1	10
chr	bm	5	5	1	5
cht	e	2	2	1	2
ck	me	2	2	1	2
cl	bm	5	5	1	5
cr	bm	10	10	1	10
ct	me	5	5	0	5
cz	bm	2	2	0	2
d	bme	100	100	100	100
dh	bm	2	2	1	2
dl	bm	5	5	1	5
dr	bm	10	10	1	10
dw	bm	5	5	1	5
f	bme	100	100	100	100
ff	bme	2	2	1	2
fl	bm	2	2	1	2
fr	bm	2	2	1	2
g	bme	100	100	100	100
gg	me	2	2	1	2
gh	bme	2	2	1	2
ght	me	2	2	1	2
gl	bm	10	10	1	10
gn	bme	2	2	1	2
gm	me	2	2	1	2
gr	bm	10	10	1	10
gw	bm	2	2	1	2
h	bme	100	100	100	100
hn	me	2	2	1	2
j	bme	10	10	10	10
jj	me	2	2	1	2
k	bme	100	100	100	100
kh	bm	2	2	1	2
kk	me	2	2	1	2
kl	bm	5	5	1	5
kr	bm	10	10	1	10
kt	me	5	5	1	5
l	bm	100	100	100	100
lc	me	5	5	1	5
lch	me	2	2	1	2
ld	me	5	5	1	5
lf	me	2	2	1	2
lk	me	5	5	1	5
ll	bme	10	10	10	10
lm	me	2	2	1	2
lp	me	2	2	1	2
lph	me	2	2	1	2
lv	me	2	2	1	2
m	bme	100	100	100	100
mm	me	5	5	1	5
mn	bme	2	2	1	2
n	bme	100	100	100	100
ng	e	2	2	1	2
nn	e	10	10	1	10
nt	e	10	10	1	10
p	bme	100	100	100	100
pf	bm	2	2	1	2
ph	bm	2	2	1	2
pl	bm	5	5	1	5
pp	me	5	5	1	5
pr	bm	10	10	1	10
pt	me	2	2	1	2
q	me	5	5	0	5
qu	bm	5	5	0	5
r	bme	100	100	100	100
rb	me	2	2	1	2
rc	me	5	5	1	5
rck	me	2	2	0	2
rch	me	2	2	0	2
rcht	me	2	2	0	2
rd	me	5	5	1	5
rf	me	5	5	1	5
rg	me	5	5	1	5
rh	bm	5	5	1	5
rj	me	2	2	0	2
rk	me	5	5	1	5
rl	me	5	5	1	5
rrl	me	0	0	0	0
rm	me	2	2	1	2
rn	me	2	2	1	2
rp	me	2	2	1	2
rq	me	2	2	0	2
rr	me	5	5	1	5
rt	me	2	2	1	2
rv	me	2	2	0	2
rx	me	2	2	0	2
rz	me	2	2	0	2
s	bme	100	100	100	100
sc	bme	5	5	1	5
sch	bm	2	2	0	2
schl	bm	2	2	0	2
sh	bme	10	10	1	10
sk	bme	10	10	1	10
sl	bm	10	10	1	10
sm	bm	10	10	1	10
sn	bm	10	10	1	10
sp	bme	10	10	1	10
sq	me	2	2	0	2
squ	bm	2	2	0	2
sr	bm	30	30	1	30
ss	bme	10	10	1	10
ssk	me	0	0	0	0
st	bme	30	30	1	30
sv	bm	2	2	1	2
sw	bme	2	2	1	2
sx	me	2	2	0	2
t	bme	100	100	100	100
tch	me	5	5	0	5
th	bme	30	30	1	30
thm	me	5	5	0	5
tr	bm	10	10	1	10
ts	bme	2	2	1	2
tt	me	10	10	1	10
tw	bm	5	5	1	5
tz	bm	2	2	0	2
v	bme	100	100	100	100
vv	me	5	5	1	5
w	bme	100	100	100	100
wh	bm	10	10	1	10
wr	bm	10	10	1	10
ww	me	5	5	1	5
x	bme	10	10	10	10
xx	me	0	0	0	0
y	bme	10	10	0	10
z	bme	10	10	0	10
zz	me	0	0	0	0
