type	static_asteroid1	static_asteroid2	dynamic_medium_asteroid1	dynamic_medium_asteroid2	dynamic_small_asteroid1	dynamic_small_asteroid2
s	s	s	s	s	s	s
iron	object/ship/asteroid/mining_asteroid_static_iron_large_s01.iff	object/ship/asteroid/mining_asteroid_static_iron_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_iron_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_iron_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_iron_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_iron_small_s02.iff
silicaceous	object/ship/asteroid/mining_asteroid_static_silicaceous_large_s01.iff	object/ship/asteroid/mining_asteroid_static_silicaceous_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_moltenrock_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_moltenrock_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_moltenrock_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_moltenrock_small_s02.iff
carbonaceous	object/ship/asteroid/mining_asteroid_static_carbonaceous_large_s01.iff	object/ship/asteroid/mining_asteroid_static_carbonaceous_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_all_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_all_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_all_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_all_small_s02.iff
ice	object/ship/asteroid/mining_asteroid_static_ice_large_s01.iff	object/ship/asteroid/mining_asteroid_static_ice_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s02.iff
obsidian	object/ship/asteroid/mining_asteroid_static_obsidian_large_s01.iff	object/ship/asteroid/mining_asteroid_static_obsidian_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_obsidian_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_obsidian_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_obsidian_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_obsidian_small_s02.iff
diamond	object/ship/asteroid/mining_asteroid_static_diamond_large_s01.iff	object/ship/asteroid/mining_asteroid_static_diamond_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s02.iff
crystal	object/ship/asteroid/mining_asteroid_static_crystal_large_s01.iff	object/ship/asteroid/mining_asteroid_static_crystal_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_ice_small_s02.iff
petrochem	object/ship/asteroid/mining_asteroid_static_petrochem_large_s01.iff	object/ship/asteroid/mining_asteroid_static_petrochem_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_all_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_all_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_all_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_all_small_s02.iff
acid	object/ship/asteroid/mining_asteroid_static_acid_large_s01.iff	object/ship/asteroid/mining_asteroid_static_acid_large_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_acid_medium_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_acid_medium_s02.iff	object/ship/asteroid/mining_asteroid_dynamic_acid_small_s01.iff	object/ship/asteroid/mining_asteroid_dynamic_acid_small_s02.iff
