SPECIES_GENDER	CUSTOMIZATION_GROUP	IS_COLOR_LINKED_TO_HAIR	IS_COLOR_LINKED_TO_BODY	LOOK_AT_BONE	ZOOM_FACTOR
s	s	b[0]	b[0]	s	f[1.0]
moncal_female	body			root	
moncal_female	eyes_nose			head	1.1
moncal_female	face			head	1.1
moncal_female	markings			head	1.1
bothan_female	body			root	
bothan_female	eyes_nose			head	1.1
bothan_female	face			head	1.1
bothan_female	hair			head	1.1
moncal_male	body			root	
moncal_male	eyes_nose			head	1.1
moncal_male	face			head	1.1
moncal_male	markings			head	1.1
bothan_male	body			root	
bothan_male	eyes_nose			head	1.1
bothan_male	face			head	1.1
bothan_male	hair			head	1.1
zabrak_female	body			root	
zabrak_female	eyes_nose			head	1.1
zabrak_female	face			head	1.1
zabrak_female	tattoos			head	1.1
zabrak_female	cosmetic			head	1.1
zabrak_female	horns_hair			head	1.3
zabrak_male	body			root	
zabrak_male	eyes_nose			head	1.1
zabrak_male	face			head	1.1
zabrak_male	tattoos			head	1.1
zabrak_male	freckles			head	1.1
zabrak_male	horns_hair			head	1.3
twilek_female	body			root	
twilek_female	eyes_nose			head	1.1
twilek_female	face			head	1.1
twilek_female	cosmetic			head	1.1
twilek_female	eyebrows	1		head	1.3
twilek_female	lekku		1	head	1.3
twilek_male	body			root	
twilek_male	eyes_nose			head	1.1
twilek_male	face			head	1.1
twilek_male	freckles			head	1.1
twilek_male	lekku		1	head	1.3
trandoshan_female	body			root	
trandoshan_female	eyes_nose			head	1.1
trandoshan_female	face	1		head	1.1
trandoshan_female	ridges		1	head	1.1
trandoshan_male	body			root	
trandoshan_male	eyes_nose			head	1.1
trandoshan_male	face	1		head	1.1
trandoshan_male	ridges		1	head	1.1
wookiee_female	body			root	
wookiee_female	eyes_nose			head	1.1
wookiee_female	face			head	1.1
wookiee_female	fur			root	
wookiee_male	body			root	
wookiee_male	eyes_nose			head	1.1
wookiee_male	face			head	1.1
wookiee_male	fur			root	
rodian_female	body			root	
rodian_female	eyes_nose			head	1.1
rodian_female	face			head	1.1
rodian_female	hair			head	1.1
rodian_male	body			root	
rodian_male	eyes_nose			head	1.1
rodian_male	face	1		head	1.1
rodian_male	frills			head	1.1
human_female	body			root	
human_female	eyes_nose			head	1.1
human_female	face			head	1.1
human_female	cosmetic			head	1.1
human_female	hair	1		head	1.1
human_male	body			root	
human_male	eyes_nose			head	1.1
human_male	face			head	1.1
human_male	freckles			head	1.1
human_male	hair	1		head	1.1
ithorian_female	body			root	1.17
ithorian_female	trunk			face_focus	0.8
ithorian_female	face			face_focus	0.8
ithorian_female	eyes_nose			face_focus	0.8
ithorian_female	markings			root	1.17
ithorian_female	hair	1		face_focus	0.8
ithorian_male	body			root	1.17
ithorian_male	trunk			face_focus	0.8
ithorian_male	face			face_focus	0.8
ithorian_male	eyes_nose			face_focus	0.8
ithorian_male	markings			root	1.17
ithorian_male	hair	1		face_focus	0.8
sullustan_female	body			root	
sullustan_female	eyes_nose			head	1.1
sullustan_female	face			head	1.1
sullustan_female	ears_chin_mouth			head	1.1
sullustan_female	cosmetic			head	1.1
sullustan_female	markings			head	1.1
sullustan_male	body			root	
sullustan_male	eyes_nose			head	1.1
sullustan_male	face			head	1.1
sullustan_male	ears_chin_mouth			head	1.1
sullustan_male	markings			head	1.1
