NAME	DISPLAY	DISPLAY_NAME	PARAM
s	b[1]	s	s
bank		bank	bank
cantina		cantina	cantina
capitol		capitol	capitol
city		city	city
cloning_facility		cloning_facility	cloning facility
cloning_facility_lg		cloning_facility_lg	cloning:large cloning facility
cloning_facility_sm		cloning_facility_sm	cloning:small cloning facility
garage		garage	garage
guild		guild	guild
guild_combat		guild_combat	combat guild
guild_commerce		guild_commerce	commerce guild
guild_theater		guild_theater	theater
guild_university		guild_university	university
hospital		hospital	hospital
hotel		hotel	hotel
medical_center		medical_center	medical center
shuttleport		shuttleport	shuttle port
starport		starport	star port
trainer	0	trainer	trainer
trainer_1hsword		trainer_1hsword	trainer:one-hand sword
trainer_2hsword		trainer_2hsword	trainer:two-hand sword
trainer_architect		trainer_architect	trainer:architect
trainer_armorsmith		trainer_armorsmith	trainer:armorsmith
trainer_artisan		trainer_artisan	trainer:artisan
trainer_bountyhunter		trainer_bountyhunter	trainer:bountyhunter
trainer_brawler		trainer_brawler	trainer:brawler
trainer_carbine		trainer_carbine	trainer:carbine
trainer_chef		trainer_chef	trainer:chef
trainer_combatmedic		trainer_combatmedic	trainer:combatmedic
trainer_commando		trainer_commando	trainer:commando
trainer_creaturehandler		trainer_creaturehandler	trainer:creaturehandler
trainer_dancer		trainer_dancer	trainer:dancer
trainer_doctor		trainer_doctor	trainer:doctor
trainer_droidengineer		trainer_droidengineer	trainer:droidengineer
trainer_entertainer		trainer_entertainer	trainer:entertainer
trainer_farmer		trainer_farmer	trainer:farmer
trainer_imagedesigner		trainer_imagedesigner	trainer:imagedesigner
trainer_industrialist		trainer_industrialist	trainer:industrialist
trainer_marksman		trainer_marksman	trainer:marksman
trainer_medic		trainer_medic	trainer:medic
trainer_miner		trainer_miner	trainer:miner
trainer_musician		trainer_musician	trainer:musician
trainer_pistol		trainer_pistol	trainer:pistol
trainer_polearm		trainer_polearm	trainer:polearm
trainer_ranger		trainer_ranger	trainer:ranger
trainer_rifleman		trainer_rifleman	trainer:rifleman
trainer_scout		trainer_scout	trainer:scout
trainer_squadleader		trainer_squadleader	trainer:squadleader
trainer_tailor		trainer_tailor	trainer:tailor
trainer_unarmed		trainer_unarmed	trainer:unarmed
trainer_weaponsmith		trainer_weaponsmith	trainer:weaponsmith
trainer_politician		trainer_politician	trainer:politician
