variable_name	min	max	default	conversion
s	i	i	i	c
/private/index_speed_min	0	10001	0	10
/private/index_speed_max	0	10001	150	10
/private/index_turn_rate_min	0	1001	180	1
/private/index_turn_rate_max	0	1001	90	1
/private/index_accel_min	0	10001	90	10
/private/index_accel_max	0	10001	30	10
/private/index_decel	0	10001	70	10
/private/index_slope_mod	0	1001	5	10
/private/index_damp_roll	0	1001	20	10
/private/index_damp_pitch	0	1001	30	10
/private/index_damp_height	0	1001	40	10
/private/index_glide	0	1001	25	10
/private/index_banking	-90	91	45	1
/private/index_hover_height	0	10001	5	10
/private/index_auto_level	0	1001	25	100
/private/index_strafe	0	2	1	1
