object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	c	s[none]	i[-1]
heroic_tusken_savage	sav1	capture	insurance	6	0	-6.1	-140						"pat1:patrolFlip:pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8"	
heroic_tusken_raider	raid1	capture	insurance	-2	0	-3	80							
heroic_tusken_raider	raid2	capture	insurance	-2.3	0	2.2	74							
heroic_tusken_raid_leader	rl1	capture	insurance	3.2	0	4.98	-138							
pathPoint:pat1		capture	insurance	1.4	0	9.9								
pathPoint:pat2		capture	foyerb	14.75	0	9.9								
pathPoint:pat3		capture	foyer	14.89	0	15.44								
pathPoint:pat4		capture	ramptop	-22.16	0	15.23								
pathPoint:pat5		capture	ramp	-22.8	0	9.9								
pathPoint:pat6		capture	ramp	-13.14	0	9.88								
pathPoint:pat7		capture	ramp	-13.2	-3	-1.56								
pathPoint:pat8		capture	spawn	-7.2	-5.5	-7.7								
heroic_tusken_massiff	dog1	capture	insurance	1.4	0	9.9			string:patrol_path=pat1					
heroic_tusken_pack_master	pm1	capture	insurance	1.4	0	9.9			string:patrol_path=pat1					
heroic_tusken_savage	sav2	capture	spawn	-8.4	-5.5	-13.9	23				
heroic_tusken_sniper	snip1	capture	spawn	-2.2	-55.5	-14.2	-36				
heroic_tusken_sniper	snip2	capture	spawn	3.8	-5.5	-11.9	-86				
heroic_tusken_savage	sav3	capture	spawn	2.2	-5.5	-3.9	-117				
"waitForComplete:triggerId:secured:sav1,raid1,raid2,rl1,dog1,pm1,sav2,snip1,snip2,sav3"		capture									
heroic_tusken_bio_engineer		secured	spawn	1.8	-5.5	-11.93	0	conversation.tusken_cloning			1
object/static/structure/general/waypoint_large_red.iff	red	capture		7	0	-15.66					
object/static/structure/general/waypoint_large_green.iff	green	secured		7	0	-15.66					
deleteSpawn:red:none		secured									
signalMaster;waitForComplete;string:waitForComplete=cloning		secured									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_cloning"		secured									
messagePlayers:heroic_tusken_kav_taken_cloning:object/mobile/heroic_tusken_kav_golder.iff		secured									
messagePlayers:heroic_tusken_cloning_cleared:none		secured									
waitForComplete:triggerId:expert1:expert											
"waitForComplete:triggerId:expert2:expert,expert"											
"waitForComplete:triggerId:expert3:expert,expert,expert"											
messagePlayers:heroic_tusken_cloning_expert_one:object/mobile/heroic_tusken_kav_golder.iff		expert1									
messagePlayers:heroic_tusken_cloning_expert_two:object/mobile/heroic_tusken_kav_golder.iff		expert2									
messagePlayers:heroic_tusken_cloning_expert_three:object/mobile/heroic_tusken_kav_golder.iff		expert3									
deleteSpawn:green:none		expert3									
object/static/structure/general/waypoint_large_blue.iff	blue	expert3		7	0	-15.66					
heroic_tusken_bio_engineer		expert1	insurance	-2.6	0	10.28	0				1
heroic_tusken_bio_engineer		expert2	insurance	-4.6	0	5.33	90				1
heroic_tusken_bio_engineer		expert3	spawn	-12.95	-5	-10.5	88				1
heroic_tusken_bio_engineer		expert4	spawn	7.8	-5.5	-4.3	-123				1
delayAction:apply_criticial_heal_buff:5		expert3									
buffHandler:add:tusken_endurance:player		apply_criticial_heal_buff									
delayAction:apply_criticial_heal_buff:300		apply_criticial_heal_buff									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_cloning1"		expert1									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_cloning2"		expert2									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_cloning3"		expert3									
signalMaster;waitForComplete;string:waitForComplete=cloning_staff		expert3									
