object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	paths	comment	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	s[none]	s	i[-1]
"randomTrigger:citizen1,expert1,expert1"		do_rescue_event										"toWatto:patrolOnce:lroom,hall,foyer,exit,watto_view,watto_end"		
heroic_tusken_mos_espa_citizen	citizen	citizen1	livingroom1	3.3	-0.7	-4.91	-61	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"toCombat:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,combat_view,combat_end"		
heroic_tusken_mos_espa_expert	expert	expert1	livingroom1	3.3	-0.7	-4.91	-61	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"toCloning:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,bank_east,bank_se,cloning_view,cloning_end"		
"randomTrigger:citizen2,expert2,expert2"		do_rescue_event										"toHotel:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,bank_east,bank_se,cloning_view,cantina_north,cantina_west,hotel_end"		
heroic_tusken_mos_espa_citizen	citizen	citizen2	livingroom1	-4.4	-0.7	-4.3	6.7	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"toUniversity:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,bank_east,bank_se,cloning_view,cantina_north,cantina_west,university_end"		
heroic_tusken_mos_espa_expert	expert	expert2	livingroom1	-4.4	-0.7	-4.3	6.7	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"toMedical:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,bank_east,bank_se,cloning_view,cantina_north,cantina_west,medical_view,medical_end"		
"randomTrigger:citizen3,expert3,expert3"		do_rescue_event										"toStarport:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,cantina_view,cantina_east,starport_view,starport_end"		
heroic_tusken_mos_espa_citizen	citizen	citizen3	foyer1	4.83	0.25	3.6	-68	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"toCommerce:patrolOnce:lroom,hall,foyer,exit,watto_view,combat_near,cloning_xroad,cantina_view,cantina_east,starport_view,starport_past,commerce_view,commerce_end"		
heroic_tusken_mos_espa_expert	expert	expert3	foyer1	4.83	0.25	3.6	-68	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"		"attack1:patrolOnce:exit,foyer"		
object/static/structure/general/waypoint_large_red.iff	red	do_rescue_event										"attack2:patrolOnce:exit,foyer,hall,lroom,back_room"		
delayAction:remove_wp:120		do_rescue_event												
deleteSpawn:red:none		remove_wp												
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_watto"		arrive_watto												
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_starport"		arrive_starport												
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_commerce"		arrive_commerce				
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_university"		arrive_university				
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_medical"		arrive_medical				
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_hotel"		arrive_hotel				
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_cloning"		arrive_cloning				
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_combat"		arrive_combat				
signalMaster;waitForComplete;string:waitForComplete=citizen_died		citizen_died				
pathPoint:lroom			livingroom1	-4.1	-0.37	-3.5
pathPoint:hall			hall1	-3.7	0.22	5.36
pathPoint:foyer			foyer1	1.1	0.26	5.23
pathPoint:exit				1.3	0	11.66
pathPoint:watto_view				-10.4	0	16.53
pathPoint:watto_end				-15.93	0	25.59
pathPoint:combat_near				-51	0	42.6
pathPoint:combat_view				-92	0	42.49
pathPoint:combat_end				-114.81	2.5	47.8
pathPoint:cloning_xroad				-42	0	-18.16
pathPoint:bank_east				-81	0	-28.83
pathPoint:bank_se				-80.1	0	-64.51
pathPoint:cloning_view				-158.6	0	-100.88
pathPoint:cloning_end				-214.44	0	-110
pathPoint:cantina_north				-156.9	0	-127.29
pathPoint:cantina_west				-176.7	0	-197.13
pathPoint:hotel_end				-196.23	0.99	-195
pathPoint:university_end				-185	2.5	-292
pathPoint:medical_view				-230.67	0	-231.35
pathPoint:medical_end				-267.04	0	-247.76
pathPoint:cantina_view				-32	0	-51
pathPoint:cantina_east				-55.5	0	-102.7
pathPoint:starport_view				-1.21	0	-167.35
pathPoint:starport_end				-22.94	0	-247.83
pathPoint:starport_past				-53	0	-289.37
pathPoint:commerce_view				-21.42	0	-405.98			
pathPoint:commerce_end				10.35	2.5	-397.24			
pathPoint:back_room			livingroom1	1.5	-0.37	-4.31			
delayAction:flesh_hunter:20		do_rescue_event							
heroic_tusken_flesh_hunter		flesh_hunter		9.74	0	12.32			string:patrol_path=attack1
heroic_tusken_flesh_hunter		flesh_hunter		12.77	0	13.769			string:patrol_path=attack1
heroic_tusken_flesh_hunter		flesh_hunter		21.5	0	19.46			string:patrol_path=attack2
heroic_tusken_flesh_hunter		flesh_hunter		29.15	0	17.47			string:patrol_path=attack2
deleteSpawn:expert:none		remove_citizen							
deleteSpawn:citizen:none		remove_citizen							
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=cit_dead"		citizen_died							
