template	name	cost	declared
s	s	i	i
rebel_trooper	Trooper	150	0
senior_specforce_guerrilla	Senior Specforce Guerilla	450	0
senior_specforce_heavy_weapons_specialist	Senior Specforce Heavy Weapons	450	0
senior_specforce_infiltrator	Specforce Infiltrator	450	0
senior_specforce_marine	Specforce Marine	450	0
senior_specforce_pathfinder	Specforce Pathfinder	450	0
senior_specforce_technician	Specforce Technician	450	0
senior_specforce_wilderness_trooper	Specforce Wilderness Trooper	450	0
specforce_heavy_weapons_specialist	Specforce Heavy Weapons Specialist	375	0
specforce_infiltrator	Specforce Infiltrator	375	0
specforce_interrogator	Specforce Interrogator	375	0
specforce_marine	Specforce Marine	375	0
specforce_procurement_specialist	Specforce Procurement Specialist	375	0
specforce_technician	Specforce Technician	375	0
specforce_wilderness_operative	Specforce Wilderness Operative	375	0
rebel_specforce_guerrilla	Specforce Guerilla	450	0
