template	name	cost	owner_cost	declared	uses	skill_requirement
s	s	i	i	i	i	s
object/draft_schematic/droid/droid_surgical.iff	Surgical Droid Schematic	4000		0		
object/draft_schematic/droid/droid_r2.iff	R2 Droid Schematic	5000		0		
object/draft_schematic/droid/droid_r3.iff	R3 Droid Schematic	6000		0		
object/draft_schematic/droid/droid_r4.iff	R4 Droid Schematic	7000		1		
object/draft_schematic/droid/droid_r5.iff	R5 Droid Schematic	8000		1		
object/draft_schematic/item/theme_park/alderaan/act3/dead_eye_prototype.iff	Dead Eye Prototype	500		0	10	
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_assault_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_battle_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_rebel_marine_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
