Resource Index#	Planet	Pool Size Min	Pool Size Max	Fractal Type	Fractal X Scale	Fractal Y Scale	Fractal Bias	Fractal Gain	Fractal Combo Rule	Fractal Frequency	Fractal Amplitude	Fractal Octaves
i	s	i	i	s	f	f	f	f	i	f	f	i
7	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
8	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
9	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
10	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
11	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
12	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
13	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
14	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
15	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
16	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
18	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
19	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
20	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
21	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
22	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
23	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
24	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
25	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
26	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
27	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
30	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
31	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
32	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
33	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
34	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
35	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
36	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
37	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
38	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
39	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
41	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
42	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
43	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
44	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
45	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
46	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
47	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
48	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
49	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
50	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
52	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
53	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
54	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
55	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
56	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
57	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
58	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
59	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
