STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL	DROID
s	f	f	f	s	f	s	s
object/building/tatooine/cloning_facility_tatooine.iff	1.04	0.1	2.57	insurance	0	object/tangible/terminal/terminal_cloning.iff	
object/building/tatooine/cloning_facility_tatooine.iff	1.04	0.1	-1.25	insurance	180	object/tangible/terminal/terminal_cloning.iff	
object/building/tatooine/cloning_facility_tatooine.iff	-5	0.1	1.8	insurance	90		clone_droid
object/building/tatooine/cloning_facility_tatooine_small.iff	-0.11	0.1	-0.24	livingroom1	180	object/tangible/terminal/terminal_cloning.iff	
object/building/tatooine/cloning_facility_tatooine_small.iff	4.6	-0.4	-4.3	livingroom1	-90		clone_droid
object/building/naboo/cloning_facility_naboo.iff	1.04	0.1	2.57	insurance	0	object/tangible/terminal/terminal_cloning.iff	
object/building/naboo/cloning_facility_naboo.iff	1.04	0.1	-1.25	insurance	180	object/tangible/terminal/terminal_cloning.iff	
object/building/naboo/cloning_facility_naboo.iff	-5	0.1	1.8	insurance	90		clone_droid
object/building/corellia/cloning_corellia.iff	1.04	0.1	2.57	insurance	0	object/tangible/terminal/terminal_cloning.iff	
object/building/corellia/cloning_corellia.iff	1.04	0.1	-1.25	insurance	180	object/tangible/terminal/terminal_cloning.iff	
object/building/corellia/cloning_corellia.iff	-5	0.1	1.8	insurance	90		clone_droid
object/building/military/outpost_cloning_facility.iff	0	0.13	-5.9	mainhall	0	object/tangible/terminal/terminal_cloning.iff	
object/building/military/outpost_cloning_facility.iff	-5.2	0.1	-3.6	room3	90		clone_droid
object/building/military/outpost_cloning_facility_s02.iff	-4.02	0.13	-5.63	room3	0	object/tangible/terminal/terminal_cloning.iff	
object/building/military/outpost_cloning_facility_s02.iff	3.8	0.1	4.7	room1	180		clone_droid
object/building/military/outpost_cloning_facility_s03.iff	0	0.13	-5.9	mainhall	0	object/tangible/terminal/terminal_cloning.iff	
object/building/military/outpost_cloning_facility_s03.iff	-5.2	0.1	-3.6	room3	90		clone_droid
object/building/military/small_imperial_cloning_facility.iff	0	0.13	-5.9	mainhall	0	object/tangible/terminal/terminal_cloning.iff	
object/building/military/small_imperial_cloning_facility.iff	-5.2	0.1	-3.6	room3	90		clone_droid
object/building/military/small_imperial_cloning_facility_s02.iff	0	0.13	-5.9	mainhall	0	object/tangible/terminal/terminal_cloning.iff	
object/building/military/small_imperial_cloning_facility_s02.iff	-5.2	0.1	-3.6	room3	90		clone_droid
object/building/player/city/cloning_corellia.iff	-12.2	-2.5	6.7	cloninglab	121		clone_droid
object/building/player/city/cloning_naboo.iff	-12.2	-2.5	6.7	cloninglab	121		clone_droid
object/building/player/city/cloning_tatooine.iff	-12.2	-2.5	6.7	cloninglab	121		clone_droid
