STRUCTURE	ARRIVAL_X	ARRIVAL_Y	ARRIVAL_Z	ARRIVAL_CELL	GROUND_TIME	AIR_TIME	IS_SHUTTLEPORT	VERSION	OBJECT	X	Y	Z	CELL	HEADING	IS_TERMINAL	IS_TRANSPORT	IS_PILOT
s	f	f	f	s	i	i	i	i	s	f	f	f	s	f	i	i	i
object/building/tatooine/starport_tatooine.iff	-21	0	-18.69	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	11.255	0.64	51.64	foyer4	-35	1	0	0
									object/tangible/terminal/terminal_travel.iff	2.52	0.64	50.02	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-3.23	0.64	50.05	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-12.71	0.64	52.04	foyer4	35	1	0	0
									object/creature/npc/theme_park/player_transport.iff	1.72	0	-5.06	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	-7.92	0	4.75	WORLD_DELTA	90	0	0	1
object/building/tatooine/shuttleport_tatooine.iff	20	0	0	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	13.3	-0.6	9.4	WORLD_DELTA	270	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-1.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	13.3	-0.6	-9.4	WORLD_DELTA	270	0	0	1
object/building/naboo/starport_naboo.iff	-21	0	-18.69	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	11.255	0.64	51.64	foyer4	-35	1	0	0
									object/tangible/terminal/terminal_travel.iff	2.52	0.64	50.02	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-3.23	0.64	50.05	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-12.71	0.64	52.04	foyer4	35	1	0	0
									object/creature/npc/theme_park/player_transport.iff	1.72	0	-5.06	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	-7.92	0	4.75	WORLD_DELTA	90	0	0	1
object/building/naboo/hangar_naboo_theed.iff	-0.05	0	98.1	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	-16.5	0.75	-68	hall1	180	1	0	0
									object/tangible/terminal/terminal_travel.iff	-27	0.75	-68	hall1	180	1	0	0
									object/tangible/terminal/terminal_travel.iff	16.5	0.75	-68	hall2	180	1	0	0
									object/tangible/terminal/terminal_travel.iff	27	0.75	-68	hall2	180	1	0	0
									object/creature/npc/theme_park/player_transport_theed_hangar.iff	-0.51	7.94	21	hangar	0	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	-11.14	7.94	11.27	hangar	180	0	0	1
object/building/corellia/starport_corellia.iff	-21	0	-18.69	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	11.255	0.64	51.64	foyer4	-35	1	0	0
									object/tangible/terminal/terminal_travel.iff	2.52	0.64	50.02	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-3.23	0.64	50.05	foyer4	0	1	0	0
									object/tangible/terminal/terminal_travel.iff	-12.71	0.64	52.04	foyer4	35	1	0	0
									object/creature/npc/theme_park/player_transport.iff	1.72	0	-5.06	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	-7.92	0	4.75	WORLD_DELTA	90	0	0	1
object/building/naboo/shuttleport_naboo.iff	20	0	0	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	13.3	-0.6	9.4	WORLD_DELTA	270	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	13.3	-0.6	-9.4	WORLD_DELTA	270	0	0	1
object/building/corellia/shuttleport_corellia.iff	20	0	0	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	13.3	-0.6	9.4	WORLD_DELTA	270	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	13.3	-0.6	-9.4	WORLD_DELTA	270	0	0	1
object/building/military/outpost_starport.iff	20.34	0	17.76	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	-3.12	0	-17.57	r1	-90	1	0	0
									object/creature/npc/theme_park/player_transport.iff	0	-9	0	WORLD_DELTA	-90	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	1	0	10	WORLD_DELTA	315	0	0	1
object/building/player/city/shuttleport_tatooine.iff	0	0	-10.5	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	-6	-1	-14	WORLD_DELTA	0	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
