STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f[0]	f[0]	f[0]	s	f[0]	s
object/building/general/mun_all_hospital_s01.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/general/mun_all_hospital_s02.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/corellia/hospital_corellia.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/corellia/hospital_corellia_s02.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/naboo/hospital_naboo_style01.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/naboo/hospital_naboo_style02.iff						object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style01.iff	-16	0.2	-11.5	rooma	0	object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style01.iff	-16	0.2	11.5	rooma	180	object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style01.iff	16.75	0.2	-11.5	roomb	0	object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style01.iff	16.75	0.2	11.5	roomb	180	object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style02.iff	0.9	0.2	-11.5	mainroom	0	object/tangible/terminal/terminal_pm_register.iff
object/building/tatooine/hospital_tatooine_style02.iff	0.9	0.2	11.5	mainroom	180	object/tangible/terminal/terminal_pm_register.iff
object/building/player/city/hospital_naboo.iff	8	0	-0.5	mainroom	-90	object/tangible/terminal/terminal_pm_register.iff
object/building/player/city/hospital_corellia.iff	8	0	-0.5	mainroom	-90	object/tangible/terminal/terminal_pm_register.iff
object/building/player/city/hospital_tatooine.iff	8	0	-0.5	mainroom	-90	object/tangible/terminal/terminal_pm_register.iff
