battlefield	template	construction_template	name	cost	construction_time	faction
s	s	s	s	i	i	s
two_fortresses						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	ALL
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	ALL
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	ALL
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
canyon_maze						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	ALL
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	ALL
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	ALL
