category	item	token0	token1	token2	token3	token4	any_token	class	note
i[0]	s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[-1]	c
0	item_necklace_set_bh_dps_01_01	2					6	6	bounty_hunter
0	item_necklace_set_medic_dps_01_01	2					6	3	medic
0	item_necklace_set_jedi_dps_01_01	2					6	7	force_sensitive
0	item_necklace_set_commando_dps_01_01	2					6	1	commando
0	item_necklace_set_smuggler_dps_01_01	2					6	2	smuggler
0	item_necklace_set_spy_dps_01_01	2					6	5	spy
0	item_necklace_set_officer_dps_01_01	2					6	4	officer
0	item_bracelet_r_set_bh_dps_01_01		2				6	6	bounty_hunter
0	item_bracelet_r_set_medic_dps_01_01		2				6	3	medic
0	item_bracelet_r_set_jedi_dps_01_01		2				6	7	force_sensitive
0	item_bracelet_r_set_commando_dps_01_01		2				6	1	commando
0	item_bracelet_r_set_smuggler_dps_01_01		2				6	2	smuggler
0	item_bracelet_r_set_spy_dps_01_01		2				6	5	spy
0	item_bracelet_r_set_officer_dps_01_01		2				6	4	officer
0	item_bracelet_l_set_bh_dps_01_01			2			6	6	bounty_hunter
0	item_bracelet_l_set_medic_dps_01_01			2			6	3	medic
0	item_bracelet_l_set_jedi_dps_01_01			2			6	7	force_sensitive
0	item_bracelet_l_set_commando_dps_01_01			2			6	1	commando
0	item_bracelet_l_set_smuggler_dps_01_01			2			6	2	smuggler
0	item_bracelet_l_set_spy_dps_01_01			2			6	5	spy
0	item_bracelet_l_set_officer_dps_01_01			2			6	4	officer
0	item_necklace_set_bh_utility_a_01_01	2					6	6	bounty_hunter
0	item_necklace_set_medic_utility_a_01_01	2					6	3	medic
0	item_necklace_set_jedi_utility_a_01_01	2					6	7	force_sensitive
0	item_necklace_set_commando_utility_a_01_01	2					6	1	commando
0	item_necklace_set_smuggler_utility_a_01_01	2					6	2	smuggler
0	item_necklace_set_spy_utility_a_01_01	2					6	5	spy
0	item_necklace_set_officer_utility_a_01_01	2					6	4	officer
0	item_bracelet_r_set_bh_utility_a_01_01		2				6	6	bounty_hunter
0	item_bracelet_r_set_medic_utility_a_01_01		2				6	3	medic
0	item_bracelet_r_set_jedi_utility_a_01_01		2				6	7	force_sensitive
0	item_bracelet_r_set_commando_utility_a_01_01		2				6	1	commando
0	item_bracelet_r_set_smuggler_utility_a_01_01		2				6	2	smuggler
0	item_bracelet_r_set_spy_utility_a_01_01		2				6	5	spy
0	item_bracelet_r_set_officer_utility_a_01_01		2				6	4	officer
0	item_bracelet_l_set_bh_utility_a_01_01			2			6	6	bounty_hunter
0	item_bracelet_l_set_medic_utility_a_01_01			2			6	3	medic
0	item_bracelet_l_set_jedi_utility_a_01_01			2			6	7	force_sensitive
0	item_bracelet_l_set_commando_utility_a_01_01			2			6	1	commando
0	item_bracelet_l_set_smuggler_utility_a_01_01			2			6	2	smuggler
0	item_bracelet_l_set_spy_utility_a_01_01			2			6	5	spy
0	item_bracelet_l_set_officer_utility_a_01_01			2			6	4	officer
0	item_necklace_set_bh_utility_b_01_01	2					6	6	bounty_hunter
0	item_necklace_set_medic_utility_b_01_01	2					6	3	medic
0	item_necklace_set_jedi_utility_b_01_01	2					6	7	force_sensitive
0	item_necklace_set_commando_utility_b_01_01	2					6	1	commando
0	item_necklace_set_smuggler_utility_b_01_01	2					6	2	smuggler
0	item_necklace_set_spy_utility_b_01_01	2					6	5	spy
0	item_necklace_set_officer_utility_b_01_01	2					6	4	officer
0	item_bracelet_r_set_bh_utility_b_01_01		2				6	6	bounty_hunter
0	item_bracelet_r_set_medic_utility_b_01_01		2				6	3	medic
0	item_bracelet_r_set_jedi_utility_b_01_01		2				6	7	force_sensitive
0	item_bracelet_r_set_commando_utility_b_01_01		2				6	1	commando
0	item_bracelet_r_set_smuggler_utility_b_01_01		2				6	2	smuggler
0	item_bracelet_r_set_spy_utility_b_01_01		2				6	5	spy
0	item_bracelet_r_set_officer_utility_b_01_01		2				6	4	officer
0	item_bracelet_l_set_bh_utility_b_01_01			2			6	6	bounty_hunter
0	item_bracelet_l_set_medic_utility_b_01_01			2			6	3	medic
0	item_bracelet_l_set_jedi_utility_b_01_01			2			6	7	force_sensitive
0	item_bracelet_l_set_commando_utility_b_01_01			2			6	1	commando
0	item_bracelet_l_set_smuggler_utility_b_01_01			2			6	2	smuggler
0	item_bracelet_l_set_spy_utility_b_01_01			2			6	5	spy
0	item_bracelet_l_set_officer_utility_b_01_01			2			6	4	officer
0	item_necklace_set_hero_01_01	1					6		
0	item_bracelet_r_set_hero_01_01		1				6		
0	item_bracelet_l_set_hero_01_01			1			6		
0	item_heroic_axkva_min_painting_01_01	1							
0	item_heroic_tusken_painting_01_01		1						
0	item_heroic_ig88_painting_01_01			1					
