base_type	point_value
s	i
object/building/faction_perk/hq/hq_s01_imp.iff	2
object/building/faction_perk/hq/hq_s01_imp_pvp.iff	4
object/building/faction_perk/hq/hq_s02_imp.iff	6
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	9
object/building/faction_perk/hq/hq_s03_imp.iff	12
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	16
object/building/faction_perk/hq/hq_s04_imp.iff	20
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	24
object/building/faction_perk/hq/hq_s05_imp.iff	32
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	40
object/building/faction_perk/hq/hq_s01_rebel.iff	2
object/building/faction_perk/hq/hq_s01_rebel_pvp.iff	4
object/building/faction_perk/hq/hq_s02_rebel.iff	6
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	9
object/building/faction_perk/hq/hq_s03_rebel.iff	12
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	16
object/building/faction_perk/hq/hq_s04_rebel.iff	20
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	24
object/building/faction_perk/hq/hq_s05_rebel.iff	32
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	40
