special_vendor_name	vendor_has_male	vendor_has_female	requires_hiring_mod	vendor_basic	vendor_give	skill_mod	decrement_mod	comments	more_comments
s	i[1]	i[0]	i[50]	i[0]	i[0]	s	i[1]	c 	c
special_vendor_tcg_series1_vendor_ewok		1				special_vendor_tcg_series1_ewok		TCG Vendor - only one vendor can be this	
special_vendor_tcg_series1_vendor_gungan						special_vendor_tcg_series1_gungan		TCG Vendor - only one vendor can be this	
special_vendor_tcg_series1_vendor_jawa						special_vendor_tcg_series1_jawa		TCG Vendor - only one vendor can be this	has_male and has_female allow for more gender specific details
special_vendor_tcg_series1_vendor_meatlump		1		1		special_vendor_tcg_series1_meatlump		TCG Vendor - only one vendor can be this	"adding new vendors requires the following naming convention: object/mobile/vendor/<RACE_TYPE> ""_"" <GENDER> "".iff"""
special_vendor_tcg_series1_vendor_bomarr_monk						special_vendor_tcg_series1_bomarr_monk		TCG Vendor - only one vendor can be this	decrement mod allows the functionality to remove 1 from the skill mod specified in the skill_mod col.
special_vendor_tcg_series1_vendor_serving_droid						special_vendor_tcg_series1_serving_droid		TCG Vendor - only one vendor can be this	vendor_give allows you to specify if you vendor can be dressed.
special_vendor_tcg_series3_vendor_nightsister	0	1		1		special_vendor_tcg_series3_nightsister		Was going to be given away for collection reward	
special_vendor_tcg_series3_vendor_battle_droid				1		special_vendor_tcg_series3_battle_droid		Was going to be given away for collection reward	
special_vendor_tcg_series4_vendor_toydarian						special_vendor_tcg_series4_toydarian		TCG Vendor - only one vendor can be this	
special_vendor_tcg_series4_vendor_kitonak						special_vendor_tcg_series4_kitonak		TCG Vendor - only one vendor can be this	
