creature_type	greeter_creature_name	nonvendor_creature_name	nonvendor_appearance_string_id	nonvendor_template_name	greeter_appearance_string_id	greeter_niche	greeter_can_color	greeter_can_be_dressed	greeter_speaks_basic	greeter_has_moods	greeter_say_chat	greeter_sounds	greeter_animates	greeter_voice_over	comments
s	s	s	s	s	s	"e(NPC=0,DROID=1)[NPC]"	i[0]	i[0]	i[0]	i[1]	i[0]	i[0]	i[0]	i[0]	c
bomarr_monk	bomarr_monk_greeter	bomarr_monk_nonvendor	nonvendor_name_bomarr_monk	object/mobile/bomarr_monk_spider_droid_nonvendor_vendor.iff	greeter_name_bomarr_monk	DROID				0		1			"no color, no moods, no spatial, sounds, no anims, no VO"
ewok	"ewok_f_greeter,ewok_m_greeter"	"ewok_f_nonvendor,ewok_m_nonvendor"	"nonvendor_name_ewok_f,nonvendor_name_ewok_m"	"object/mobile/ewok_f_nonvendor_vendor.iff,object/mobile/ewok_m_nonvendor_vendor.iff"	"greeter_name_ewok_f,greeter_name_ewok_m"		1				1	1	1		"color, moods, spatial, sounds, anims, noVO"
gungan	"gungan_m_hood_greeter,gungan_m_greeter"	"gungan_m_hood_nonvendor,gungan_m_nonvendor"	"nonvendor_name_gungan_hood,nonvendor_name_gungan"	"object/mobile/gungan_m_hood_nonvendor_vendor.iff,object/mobile/gungan_m_nonvendor_vendor.iff"	"greeter_name_gungan_hood,greeter_name_gungan"				1		1		1	1	"no color, speaks basic, moods, spatial, no sounds, anims, VO"
jawa	jawa_m_greeter	jawa_m_nonvendor	nonvendor_name_jawa	object/mobile/jawa_m_nonvendor_vendor.iff	greeter_name_jawa						1	1	1		"no color, no moods, spatial, sounds, anims, no VO"
meatlump	"meatlump_f_01_greeter,meatlump_f_02_greeter,meatlump_f_officer_greeter,meatlump_m_01_greeter,meatlump_m_02_greeter,meatlump_m_officer_01_greeter"	"meatlump_f_01_nonvendor,meatlump_f_02_nonvendor,meatlump_f_officer_nonvendor,meatlump_m_01_nonvendor,meatlump_m_02_nonvendor,meatlump_m_officer_01_nonvendor"	"nonvendor_name_meatlump_f_01,nonvendor_name_meatlump_f_02,nonvendor_name_meatlump_officer_f,nonvendor_name_meatlump_m_01,nonvendor_name_meatlump_m_02,nonvendor_name_meatlump_officer_m"	"object/mobile/meatlump_f_01_nonvendor_vendor.iff,object/mobile/meatlump_f_02_nonvendor_vendor.iff,object/mobile/meatlump_f_officer_01_nonvendor_vendor.iff,object/mobile/meatlump_m_01_nonvendor_vendor.iff,object/mobile/meatlump_m_02_nonvendor_vendor.iff,object/mobile/meatlump_m_officer_01_nonvendor_vendor.iff"	"nonvendor_name_meatlump_f_01,nonvendor_name_meatlump_f_02,nonvendor_name_meatlump_officer_f,nonvendor_name_meatlump_m_01,nonvendor_name_meatlump_m_02,nonvendor_name_meatlump_officer_m"				1		1		1	1	"no color, speaks basic, moods, spatial, no sounds, anims, VO"
serving_droid	waiter_astromech_greeter	waiter_astromech_nonvendor	nonvendor_name_serving_droid	object/mobile/waiter_astromech_nonvendor_vendor.iff	greeter_name_serving_droid	DROID	1			0		1			"color, no moods, no spatial, sounds, no anims, no VO"
gamorrean	gamorrean_m_greeter				gamorrean_name_greeter					0		1	1		"no color, no moods, no spatial, sounds, anims, no VO"
nightsister	nightsister_greeter	nightsister_nonvendor	nonvendor_name_nightsister	object/mobile/nightsister_nonvendor_vendor.iff	nightsister_greeter				1		1		1	1	
battle_droid	battle_droid_greeter	battle_droid_nonvendor	nonvendor_name_battle_droid	object/mobile/battle_droid_nonvendor_vendor.iff	greeter_name_battle_droid	DROID			1		1	1	1		"no color, moods, spatial, no sounds, anims, VO"
toydarian	"toydarian_m_greeter,toydarian_m_greeter_01,toydarian_m_greeter_02"		nonvendor_name_toydarian	object/mobile/toydarian_m_nonvendor_vendor.iff	"greeter_name_toydarian,greeter_name_toydarian_01,greeter_name_toydarian_02"		1		1		1	1	1		"no color, moods, spatial, no sounds, anims, VO"
tusken	tusken_m_greeter	greeter_name_tusken	nonvendor_name_tusken	object/mobile/tusken_nonvendor_vendor.iff	greeter_name_tusken					0	0	1	1		"no color, no moods, no spatial, sounds, anims, no VO"
tie_fighter_pilot	tie_fighter_pilot_greeter	tie_fighter_pilot_nonvendor	nonvendor_name_battle_droid	object/mobile/tie_fighter_pilot_nonvendor_vendor.iff	greeter_empire_day_tie_fighter_pilot				1		1		1	1	"no color, moods, spatial, no sounds, anims, VO"
xwing_fighter_pilot	xwing_fighter_pilot_greeter	xwing_fighter_pilot_nonvendor	nonvendor_name_battle_droid	object/mobile/xwing_fighter_pilot_nonvendor_vendor.iff	greeter_empire_day_xwing_fighter_pilot				1		1		1	1	"no color, moods, spatial, no sounds, anims, VO"
kitonak			nonvendor_name_kitonak	object/mobile/kitonak_m_nonvendor_vendor.iff											
pa_lowick	pa_lowick_greeter				pa_lowick_greeter		1			0			1	1
senate_guard	senate_guard_greeter				senate_guard_greeter				1		1		1	1
royal_guard	royal_guard_greeter				royal_guard_greeter				1		1		1	1

























															i
