low	mid	high
s	s	s
item_food_edible_jar_berries_02_01	item_food_edible_jar_berries_03_01	item_food_edible_jar_berries_04_01
item_food_edible_jar_bugs_02_01	item_food_edible_jar_bugs_03_01	item_food_edible_jar_bugs_04_01
item_food_edible_jar_fungus_02_01	item_food_edible_jar_fungus_03_01	item_food_edible_jar_fungus_04_01
item_food_edible_jar_funk_02_01	item_food_edible_jar_funk_03_01	item_food_edible_jar_funk_04_01
item_food_edible_jar_livers_02_01	item_food_edible_jar_livers_03_01	item_food_edible_jar_livers_04_01
item_food_foraged_fruit_02_01	item_food_foraged_fruit_03_01	item_food_foraged_fruit_04_01
item_food_foraged_fruit_02_02	item_food_foraged_fruit_03_02	item_food_foraged_fruit_04_02
item_food_foraged_fruit_02_03	item_food_foraged_fruit_03_03	item_food_foraged_fruit_04_03
item_food_foraged_fruit_02_04	item_food_foraged_fruit_03_04	item_food_foraged_fruit_04_04
item_food_foraged_fruit_02_05	item_food_foraged_fruit_03_05	item_food_foraged_fruit_04_05
item_food_foraged_vegetable_02_02	item_food_foraged_vegetable_03_02	item_food_foraged_vegetable_04_02
item_food_foraged_vegetable_02_03	item_food_foraged_vegetable_03_03	item_food_foraged_vegetable_04_03
item_food_foraged_vegetable_02_04	item_food_foraged_vegetable_03_04	item_food_foraged_vegetable_04_04
item_food_foraged_vegetable_02_05	item_food_foraged_vegetable_03_05	item_food_foraged_vegetable_04_05
