npc_type	table	chance
s	s	f
aakuan1	datatables/loot/npc/aakuan.iff:aakuan1	1000
aakuan2	datatables/loot/npc/aakuan.iff:aakuan2	1000
aakuan3	datatables/loot/npc/aakuan.iff:aakuan3	2000
aakuan4	datatables/loot/npc/aakuan.iff:aakuan4	2000
aakuan5	datatables/loot/npc/aakuan.iff:aakuan5	2200
acklay	datatables/loot/dungeon/geonosian_bio_bunker.iff:acklay	8000
afarathu1	datatables/loot/npc/afarathu.iff:afarathu1	1000
afarathu2	datatables/loot/npc/afarathu.iff:afarathu2	1200
afarathu3	datatables/loot/npc/afarathu.iff:afarathu3	1600
alkhara1	datatables/loot/npc/alkhara.iff:alkhara1	2000
alkhara2	datatables/loot/npc/alkhara.iff:alkhara2	4000
assassin1	datatables/loot/npc/criminal.iff:assassin1	1600
assassin2	datatables/loot/npc/criminal.iff:assassin2	1800
assassin3	datatables/loot/npc/criminal.iff:assassin3	1400
bane_back_spider	datatables/loot/creature_loot/elite_creature.iff:bane_back_spider	10000
beldonna1	datatables/loot/npc/beldonna.iff:beldonna1	1200
beldonna2	datatables/loot/npc/beldonna.iff:beldonna2	1600
binayre1	datatables/loot/npc/binayre.iff:binayre1	1000
binayre2	datatables/loot/npc/binayre.iff:binayre2	2400
binayre3	datatables/loot/npc/binayre.iff:binayre3	2400
blacksun	datatables/loot/npc/blksun.iff:blksun1	400
borvo1	datatables/loot/npc/borvo.iff:borvo1	1600
borvo2	datatables/loot/npc/borvo.iff:borvo2	1600
borvo3	datatables/loot/npc/borvo.iff:borvo3	1600
brackaset	datatables/loot/npc/brackaset.iff:generic	1200
brigand1	datatables/loot/npc/brigand.iff:brigand1	1000
brigand2	datatables/loot/npc/brigand.iff:brigand2	1600
brigand3	datatables/loot/npc/brigand.iff:brigand3	1600
chunker1	datatables/loot/npc/chunker.iff:chunker1	1000
chunker2	datatables/loot/npc/chunker.iff:chunker2	1000
coa2	datatables/loot/dungeon/coa2_drops.iff:slicer	1600
	datatables/loot/npc/criminal.iff:slicer2	10000
coa3	datatables/loot/dungeon/coa3_drops.iff:caravan_leader	10000
cobral1	datatables/loot/npc/cobral.iff:cobral1	1000
cobral2	datatables/loot/npc/cobral.iff:cobral2	2000
cobral3	datatables/loot/npc/cobral.iff:cobral3	3000
collective1	datatables/loot/npc/collective.iff:collective1	2400
collective2	datatables/loot/npc/collective.iff:collective2	4000
collective3	datatables/loot/npc/collective.iff:collective3	4000
corsair1	datatables/loot/npc/canyon_corsair.iff:corsair1	2400
corsair2	datatables/loot/npc/canyon_corsair.iff:corsair2	3000
corsair3	datatables/loot/npc/canyon_corsair.iff:corsair3	3000
commoner	datatables/loot/npc/noble.iff:noble1	2000
commoner2	datatables/loot/npc/noble.iff:noble1	5000
	datatables/loot/trophy/trophy_b.iff:general	2
	datatables/loot/trophy/trophy_a.iff:general	20
corsec	datatables/loot/npc/corsec.iff:corsec1	1000
corsec2	datatables/loot/npc/corsec.iff:corsec2	1000
corsec3	datatables/loot/npc/corsec.iff:corsec3	1400
corsec4	datatables/loot/npc/corsec.iff:corsec4	2200
	datatables/loot/npc/force_crystal.iff:generic	200
corsec5	datatables/loot/npc/corsec.iff:corsec4	2200
	datatables/loot/npc/force_crystal.iff:generic	200
dagger1	datatables/loot/npc/dagger.iff:dagger1	1000
dagger2	datatables/loot/npc/dagger.iff:dagger2	1600
dantari	datatables/loot/npc/dantari.iff:dantari1	1600
dantari2	datatables/loot/npc/dantari.iff:dantari2	2000
dantari3	datatables/loot/npc/dantari.iff:dantari3	2000
dantari4	datatables/loot/npc/dantari.iff:dantari4	3000
dantari5	datatables/loot/npc/dantari.iff:dantari5	3000
dantari6	datatables/loot/npc/dantari.iff:dantari2	1400
	datatables/loot/npc/force_crystal.iff:generic	20
dantari7	datatables/loot/npc/dantari.iff:dantari3	2000
	datatables/loot/npc/force_crystal.iff:generic	200
dantari8	datatables/loot/npc/dantari.iff:dantari4	3000
	datatables/loot/npc/force_crystal.iff:generic	200
dark_jedi2	datatables/loot/npc/dark_jedi.iff:dark_jedi2	4000
	datatables/loot/trophy/trophy_a.iff:general	8
dark_jedi3	datatables/loot/npc/dark_jedi.iff:dark_jedi3	5000
	datatables/loot/trophy/trophy_b.iff:general	2
	datatables/loot/trophy/trophy_a.iff:general	20
dark_jedi4	datatables/loot/npc/dark_jedi.iff:dark_jedi4	6000
	datatables/loot/trophy/trophy_b.iff:general	2
	datatables/loot/trophy/trophy_a.iff:general	2
dark_jedi5	datatables/loot/npc/dark_jedi.iff:dark_jedi5	7500
	datatables/loot/trophy/trophy_b.iff:general	4
	datatables/loot/trophy/trophy_a.iff:general	80
dark_jedi6	datatables/loot/npc/dark_jedi.iff:dark_jedi2	4000
	datatables/loot/trophy/trophy_b.iff:general	2
	datatables/loot/trophy/trophy_a.iff:general	2
dimu	datatables/loot/npc/dimu.iff:dimu1	1000
donkuwah	datatables/loot/npc/donkuwah.iff:donkuwah1	1000
donkuwah2	datatables/loot/npc/donkuwah.iff:donkuwah2	2000
donkuwah3	datatables/loot/npc/donkuwah.iff:donkuwah3	2000
donkuwah4	datatables/loot/npc/donkuwah.iff:donkuwah4	2600
donkuwah5	datatables/loot/npc/donkuwah.iff:donkuwah5	3000
donkuwah6	datatables/loot/npc/donkuwah.iff:donkuwah5	4000
	datatables/loot/npc/donkuwah.iff:trophy_a	4
drall	datatables/loot/npc/drall.iff:drall1	1000
drall2	datatables/loot/npc/drall.iff:drall2	1000
drall3	datatables/loot/npc/drall.iff:drall3	1400
drall4	datatables/loot/npc/drall.iff:drall4	2000
dulok	datatables/loot/npc/dulok.iff:dulok1	1600
enhanced_gaping_spider	datatables/loot/dungeon/geonosian_bio_bunker.iff:enhanced_gaping_spider	4000
enhanced_kwi	datatables/loot/dungeon/geonosian_bio_bunker.iff:enhanced_kwi	2400
ewok	datatables/loot/npc/ewok.iff:ewok1	1000
ewok2	datatables/loot/npc/ewok.iff:ewok2	1400
ewok3	datatables/loot/npc/ewok.iff:ewok3	1600
ewok4	datatables/loot/npc/ewok.iff:ewok4	2000
ewok5	datatables/loot/npc/ewok.iff:ewok5	2000
fambaa	datatables/loot/npc/fambaa.iff:generic	1200
farmer	datatables/loot/npc/farmer.iff:farmer1	1000
farmer2	datatables/loot/npc/farmer.iff:farmer2	1000
farmer3	datatables/loot/npc/farmer.iff:farmer3	1000
feddub1	datatables/loot/npc/feddub.iff:feddub1	1000
feddub2	datatables/loot/npc/feddub.iff:feddub2	1500
feddub3	datatables/loot/npc/feddub.iff:feddub3	2000
flail1	datatables/loot/npc/flail.iff:flail1	1400
flail2	datatables/loot/npc/flail.iff:flail2	2000
gangster1	datatables/loot/npc/criminal.iff:gangster1	1000
gangster2	datatables/loot/npc/criminal.iff:gangster2	1000
garyn	datatables/loot/npc/garyn.iff:garyn1	1200
garyn2	datatables/loot/npc/garyn.iff:garyn2	1600
garyn3	datatables/loot/npc/garyn.iff:garyn3	2200
garyn4	datatables/loot/npc/garyn.iff:garyn4	2400
geo_bunker	datatables/loot/dungeon/geonosian_bio_bunker.iff:level1	3600
geo_bunker2	datatables/loot/dungeon/geonosian_bio_bunker.iff:level2	3600
geo_bunker3	datatables/loot/dungeon/geonosian_bio_bunker.iff:level3	3600
geo_power_cube	datatables/loot/dungeon/geonosian_bio_bunker.iff:power_cube	4400
giant_kimogila	datatables/loot/npc/kimogila.iff:giant_dune	2800
	datatables/loot/npc/kimogila.iff:trophy_a	20
gondula1	datatables/loot/npc/gondula.iff:gondula1	9500
gondula2	datatables/loot/npc/gondula.iff:gondula2	1400
gondula3	datatables/loot/npc/gondula.iff:gondula3	2000
gondula4	datatables/loot/npc/gondula.iff:gondula4	3000
gondula5	datatables/loot/npc/gondula.iff:gondula5	3000
minor_gorax	datatables/loot/npc/gorax.iff:generic	7500
gorax	datatables/loot/npc/gorax.iff:generic	3300
	datatables/loot/npc/gorax.iff:trophy_b	4
	datatables/loot/npc/gorax.iff:trophy_a	200
greck1	datatables/loot/npc/greck.iff:greck1	1400
gundark1	datatables/loot/npc/gundark.iff:gundark1	1000
gungan	datatables/loot/npc/gungan.iff:gungan1	1000
gungan2	datatables/loot/npc/gungan.iff:gungan2	1400
gungan3	datatables/loot/npc/gungan.iff:gungan3	1600
gungan4	datatables/loot/npc/gungan.iff:gungan4	1800
gungan5	datatables/loot/npc/gungan.iff:gungan5	2000
gurk_king	datatables/loot/npc/gurk.iff:gurk_king	3000
imperial_inquisitor	datatables/loot/npc/imperial.iff:officer5	3300
	datatables/loot/trophy/trophy_b.iff:general	2
imperial_medic	datatables/loot/npc/imperial.iff:medic4	2000
imperial_officer	datatables/loot/npc/imperial.iff:officer1	1000
imperial_officer2	datatables/loot/npc/imperial.iff:officer2	2000
imperial_officer3	datatables/loot/npc/imperial.iff:officer3	2000
imperial_officer4	datatables/loot/npc/imperial.iff:officer4	2000
imperial_officer5	datatables/loot/npc/imperial.iff:officer5	3000
imperial_officer_fb	datatables/loot/npc/imperial.iff:officer5	3000
	datatables/loot/npc/krayt.iff:generic	500
