generic_collectible	misc_collectible	dejarik_collectible	aurebesh_collectible	trinket_collectible	housing_collectible	contraband_collectible	imperial_officer_rank_collectible	rebel_officer_rank_collectible	imperial_logo_patch_collectible	rebel_logo_patch_collectible	holocron_jedi	holocron_sith	shard_collectible	damind_collectible	eralam_collectible	kasha_collectible	luxum_collectible	treasure_collectible	schematic_reward_01	schematic_reward_02	exar_collectible	space_booster_collectible	space_capacitor_collectible	space_engine_collectible	space_reactor_collectible	space_collectible
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
col_gulginaw_feather_02_01	col_dooku_datadisk_02_01	col_dejarik_battery_02_01	col_aurebesh_tile_aurek_02_01	col_nightsister_bracelet_02_01	item_collection_housing_improvement_01_01	col_contraband1_item_02_01	col_imperial_rank_lt_01_01	col_rebel_rank_lt_01_01	col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01	item_collection_jedi_holocron_01_01	item_collection_sith_holocron_01_01	col_shattered_shard_unknown_02_01	col_damind_shard_02_01	col_eralam_shard_02_01	col_kasha_shard_02_01	col_luxum_shard_02_01	col_treasure_hunter_antique_melee_02_01	item_collection_reward_potted_plant_schematic_01_01	item_treasure_map_bar_counter_s1_schematic	col_heroic_exar_kun_lost_journal_02_01	space_collection_booster_mark_01_incom	space_collection_capacitor_mark_01_corellian	space_collection_engine_mark_01_cygnus	space_collection_reactor_mark_01_cygnus	space_collection_booster_mark_01_incom
col_kai_tok_feather_02_01	col_dooku_datadisk_02_02	col_dejarik_board_02_01	col_aurebesh_tile_besh_02_01	col_nightsister_broach_02_01	item_collection_housing_improvement_01_02	col_contraband1_item_02_02	col_imperial_rank_cpt_01_01	col_rebel_rank_cpt_01_01	col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02	item_collection_jedi_holocron_01_01	item_collection_sith_holocron_01_01	col_shattered_shard_unknown_02_02	col_damind_shard_02_02	col_eralam_shard_02_02	col_kasha_shard_02_02	col_luxum_shard_02_02	col_treasure_hunter_antique_pistol_02_01	item_collection_reward_potted_flower_schematic_01_01	item_treasure_map_bar_piece_straight_s1_schematic	col_heroic_exar_kun_lost_journal_02_02	space_collection_booster_mark_01_kessel	space_collection_capacitor_mark_01_incom	space_collection_engine_mark_01_incom	space_collection_reactor_mark_01_freitek	space_collection_booster_mark_01_kessel
col_mantigrue_feather_02_01	col_dooku_datadisk_02_03	col_dejarik_ghhhk_02_01	col_aurebesh_tile_cherek_02_01	col_nightsister_earrings_02_01	item_collection_housing_improvement_01_03	col_contraband1_item_02_03	col_imperial_rank_maj_01_01	col_rebel_rank_maj_01_01	col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03	item_collection_jedi_holocron_01_02	item_collection_sith_holocron_01_02	col_shattered_shard_unknown_02_03	col_damind_shard_02_03	col_eralam_shard_02_03	col_kasha_shard_02_03	col_luxum_shard_02_03	col_treasure_hunter_antique_carbine_02_01	item_collection_hanging_light_schematic_01_01	item_treasure_map_bar_piece_straight_s2_schematic	col_heroic_exar_kun_lost_journal_02_03	space_collection_booster_mark_01_koensayr	space_collection_capacitor_mark_01_koensayr	space_collection_engine_mark_01_koensayr	space_collection_reactor_mark_01_incom	space_collection_booster_mark_01_koensayr
col_peko_peko_feather_02_01	col_dooku_datadisk_02_04	col_dejarik_grimtaash_02_01	col_aurebesh_tile_cresh_02_01	col_nightsister_pendant_02_01	item_collection_housing_improvement_01_04	col_contraband1_item_02_04	col_imperial_rank_lt_01_01	col_rebel_rank_lt_01_01	col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04	item_collection_jedi_holocron_01_02	item_collection_sith_holocron_01_02	col_shattered_shard_unknown_02_04	col_damind_shard_02_04	col_eralam_shard_02_04	col_kasha_shard_02_04	col_luxum_shard_02_04	col_treasure_hunter_antique_rifle_02_01	item_collection_hanging_light_schematic_01_02	item_treasure_map_bar_piece_curve_s1_schematic	col_heroic_exar_kun_lost_journal_02_04	space_collection_booster_mark_01_kse	space_collection_capacitor_mark_01_kse	space_collection_engine_mark_01_kse	space_collection_reactor_mark_01_koensayr	space_collection_booster_mark_01_kse
col_perlek_feather_02_01	col_dooku_datadisk_02_05	col_dejarik_holoprojector_02_01	col_aurebesh_tile_dorn_02_01	col_nightsister_ring_02_01	item_collection_housing_improvement_01_05	col_contraband1_item_02_05	col_imperial_rank_cpt_01_01	col_rebel_rank_cpt_01_01	col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05	item_collection_jedi_holocron_01_02	item_collection_sith_holocron_01_02	col_shattered_shard_unknown_02_05	col_damind_shard_02_05	col_eralam_shard_02_05	col_kasha_shard_02_05	col_luxum_shard_02_05	col_treasure_hunter_oval_gem_02_01	col_fried_icecream_fryer_schematic	item_treasure_map_bar_piece_curve_s2_schematic	col_heroic_exar_kun_lost_journal_02_05	space_collection_booster_mark_01_mandal	space_collection_capacitor_mark_01_mandal	space_collection_engine_mark_01_mandal	space_collection_reactor_mark_01_kse	space_collection_booster_mark_01_mandal
col_whisper_bird_feather_02_01	col_glass_shelf_02_01	col_dejarik_houjix_02_01	col_aurebesh_tile_enth_02_01	col_tusken_bantha_braid_02_01	item_collection_housing_improvement_01_06	col_contraband2_item_02_01	col_imperial_rank_maj_01_01	col_rebel_rank_maj_01_01	col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06	item_collection_jedi_holocron_01_02	item_collection_sith_holocron_01_02	col_shattered_shard_unknown_02_06					col_treasure_hunter_oval_gem_02_02	col_fried_icecream_fryer_broken_activation	item_dwartii_statue_braata_schematic_01	col_heroic_exar_kun_lost_journal_02_06	space_collection_booster_mark_01_moncal	space_collection_capacitor_mark_01_moncal	space_collection_engine_mark_01_moncal	space_collection_reactor_mark_01_mandal	space_collection_booster_mark_01_moncal
col_rancor_bone_02_01	col_glass_shelf_02_02	col_dejarik_keypad_02_01	col_aurebesh_tile_esk_02_01	col_tusken_gaderffi_02_01	item_collection_housing_improvement_01_07	col_contraband2_item_02_02	col_imperial_rank_lt_01_01	col_rebel_rank_lt_01_01	col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07	item_collection_jedi_holocron_01_03	item_collection_sith_holocron_01_03	col_shattered_shard_unknown_02_07					col_treasure_hunter_oval_gem_02_03	item_collection_reward_potted_plant_schematic_01_01	item_dwartii_statue_faya_schematic_01	col_heroic_exar_kun_lost_journal_02_07	space_collection_booster_mark_01_novaldex	space_collection_capacitor_mark_01_novaldex	space_collection_engine_mark_01_novaldex	space_collection_reactor_mark_01_seinar	space_collection_booster_mark_01_novaldex
col_rancor_entrails_02_01	col_glass_shelf_02_03	col_dejarik_keypad_02_02	col_aurebesh_tile_forn_02_01	col_tusken_hubba_gourd_02_01	item_collection_housing_improvement_01_08	col_contraband2_item_02_03	col_imperial_rank_cpt_01_01	col_rebel_rank_cpt_01_01	col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01	item_collection_jedi_holocron_01_03	item_collection_sith_holocron_01_03	col_shattered_shard_unknown_02_08					col_treasure_hunter_oval_gem_02_04	item_collection_reward_potted_flower_schematic_01_01	item_dwartii_statue_sistros_schematic_01	col_heroic_exar_kun_lost_journal_02_08	space_collection_booster_mark_01_qualdex	space_collection_capacitor_mark_01_qualdex	space_collection_engine_mark_01_qualdex	space_collection_reactor_mark_01_subpro	space_collection_booster_mark_01_qualdex
col_rancor_eye_02_01	col_glass_shelf_02_04	col_dejarik_kintan_02_01	col_aurebesh_tile_grek_02_01	col_tusken_massif_thorn_02_01	item_collection_housing_improvement_01_09	col_contraband2_item_02_04	col_imperial_rank_maj_01_01	col_rebel_rank_maj_01_01	col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02	item_collection_jedi_holocron_01_03	item_collection_sith_holocron_01_03	col_shattered_shard_unknown_02_09					col_treasure_hunter_trilliant_gem_02_01	item_collection_reward_potted_plant_schematic_01_01	item_dwartii_statue_yanjon_schematic_01		space_collection_booster_mark_02_incom	space_collection_capacitor_mark_02_corellian	space_collection_engine_mark_02_cygnus	space_collection_reactor_mark_02_cygnus	space_collection_booster_mark_02_incom
