strTemplate	fltJX	fltJY	fltJZ	fltKX	fltKY	fltKZ	fltPX	fltPY	fltPZ	strObjVars	strScripts	strCellName	intNoCreate	strLocationList
s	f	f	f	f	f	f	f	f	f	p	s	s	i	s
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	0.00482142	-3.1385	-9.35497	ignoreInBuildoutArray|0|1|pointName|4|dungeon_guard_patrol_1_13667715_8|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	spiralhallway	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	19.7154	-7.94084	-7.38512	ignoreInBuildoutArray|0|1|pointName|4|dungeon_guard_patrol_1_13667715_9|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	spiralhallway	0	
object/tangible/ground_spawning/patrol_spawner.iff	0	1	0	0	0	1	118.141	-34.0536	-329.754	fltMaxSpawnTime|2|120.000000|fltMinSpawnTime|2|90.000000|fltRadius|2|2.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|patrolArray|9|118.140945 -34.053589 -329.753754 tatooine 11385041:117.453865 -34.385960 -311.238037 tatooine 11385041:102.127060 -33.616215 -309.360016 tatooine 11385041:84.158539 -33.894970 -331.745728 tatooine 11385041:89.608612 -33.958942 -346.356995 tatooine 11385041:104.962608 -34.365562 -332.798615 tatooine 11385041:|patrolPathType|4|oscillate|registerWithController|0|1|strName|4|npe_carax|strPatrolPointNames|5|npe_carax_11512268_1:npe_carax_11512268_2:npe_carax_11512268_3:npe_carax_11512268_4:npe_carax_11512268_5:|strSpawnerType|4|patrol|strSpawns|4|npe/npe_carax|$|	script.systems.spawning.spawner_patrol	largeendcave	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	117.454	-34.386	-311.238	ignoreInBuildoutArray|0|1|pointName|4|npe_carax_11512268_1|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	largeendcave	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	102.127	-33.6162	-309.36	ignoreInBuildoutArray|0|1|pointName|4|npe_carax_11512268_2|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	largeendcave	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	84.1585	-33.895	-331.746	ignoreInBuildoutArray|0|1|pointName|4|npe_carax_11512268_3|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	largeendcave	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	89.6086	-33.9589	-346.357	ignoreInBuildoutArray|0|1|pointName|4|npe_carax_11512268_4|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	largeendcave	0	
object/tangible/ground_spawning/patrol_waypoint.iff	0	1	0	0	0	1	104.963	-34.3656	-332.799	ignoreInBuildoutArray|0|1|pointName|4|npe_carax_11512268_5|registerWithController|0|1|$|	script.systems.spawning.patrol_point_setup	largeendcave	0	
object/tangible/ground_spawning/area_spawner.iff	0	1	0	0.636377	0	0.771378	103.592	-33.8696	-325.937	fltMaxSpawnTime|2|45.000000|fltMinSpawnTime|2|30.000000|fltRadius|2|4.000000|intDefaultBehavior|0|0|intGoodLocationSpawner|0|0|intSpawnCount|0|3|intSpawnSystem|0|1|registerWithController|0|1|strName|4|npe_rats_die_1|strSpawnerType|4|area|strSpawns|4|npe/npe_rat|$|	script.systems.spawning.spawner_area	largeendcave	0	
object/tangible/ground_spawning/area_spawner.iff	0	1	0	-0.0233244	0	-0.999728	85.7925	-33.9391	-347.932	fltMaxSpawnTime|2|45.000000|fltMinSpawnTime|2|30.000000|fltRadius|2|4.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|3|intSpawnSystem|0|1|registerWithController|0|1|strName|4|npe_rats_die_2|strSpawnerType|4|area|strSpawns|4|npe/npe_rat|$|	script.systems.spawning.spawner_area	largeendcave	0	
