questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:naboo_rebel_tier4_4_battle_point	7	150	120	800	-800	150	-200	reb_awing_tier4	tiedecimator_inquisitor	0		0	splitquest	both	space_battle:naboo_rebel_tier4_4_a	survival:naboo_rebel_tier4_4_b	0	0	0	The data retrieved in the previous mission points out a space station in Dathomir as the Inquisitions current base of operations. An attack is planned and the player is ordered to help clear out fighters before the Alliance bombers are called in.	pilot_profession
									reb_awing_tier4	tieinterceptor_inquisitor_guard			0									
									reb_xwing_tier4	tieinterceptor_inquisitor_guard			0									
									reb_xwing_tier4	imp_tie_fighter_tier4			0									
									reb_xwing_tier4	imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_aggressor_tier4			0									
