questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_corellia	space_corellia:corellia_station_mission5b_2	0	10	25	-100	100	50	50	corsec_fighter_tier3	cloak_aggrevator_tier3	0		0	splitquest	success	assassinate:corellia_station_mission5b_3		0	0	0		
									corsec_fighter_tier3	cloak_aggrevator_tier3			0									
									corsec_fighter_tier3	cloak_aggrevator_tier3			0									
									corsec_interceptor_tier3	cloak_agitator_tier3			0									
									corsec_interceptor_tier3	cloak_agitator_tier3			0									
									corsec_interceptor_tier3	cloak_agitator_tier3			0									
									corsec_gunship_tier3	cloak_infiltrator_tier3			0									
										cloak_infiltrator_tier3			0									
										cloak_infiltrator_tier3			0									
										cloak_annihilator_tier3			0									
