questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_kashyyyk	space_kashyyyk:ep3_clone_relics_jedi_starfighter_01	5	145	180	-700	800	-500	100	imp_tie_interceptor_tier4	reb_xwing_tier4	0		0	splitquest	success	space_battle:ep3_clone_relics_jedi_starfighter_5		0	0	0		
									imp_tie_fighter_tier3	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_xwing_tier3			0									
									imp_tie_interceptor_tier4	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_xwing_tier4			0									
									imp_tie_interceptor_tier4	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_xwing_tier3			0									
										reb_xwing_tier3			0									
