questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dantooine	space_dantooine:corellia_privateer_tier4_leg_3_space_battle_two	4	30	90	500	-500	250	-250	corsec_gunship_tier4	blacksun_aggressor_tier4	0		0	none	triggerOn			0	0	0		pilot_profession
									corsec_interdiction_craft_tier4	blacksun_aggressor_tier4			0									
									corsec_lancer_tier4	blacksun_gunship_tier4			0									
									corsec_interceptor_tier4	blacksun_marauder_tier4			0									
										blacksun_marauder_tier4			0									
										blacksun_vehement_tier4			0									
										blacksun_gunship_tier4			0									
													0									
													0									
