questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_endor	space_endor:tatooine_imperial_tier3_battle1_spawner	3	10	120	400	-400	200	200	imp_tie_interceptor_tier3	reb_awing_tier3	0		0	none	triggerOn			0	0	0		pilot_profession
									imp_tie_interceptor_tier3	reb_awing_tier3			0									
									imp_tie_interceptor_tier3	reb_awing_tier3			0									
									imp_tie_interceptor_tier3	reb_awing_tier3			0									
									imp_tie_interceptor_tier3	reb_xwing_tier3			0									
									imp_tie_interceptor_tier3	reb_xwing_tier3			0									
										reb_xwing_tier3			0									
										reb_xwing_tier3			0									
										reb_xwing_tier4			0									
										reb_ykl37r_tier3			0									
