questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_endor	space_endor:tatooine_rebel_tier4_3_battle_point	7	140	120	800	-900	250	-150	reb_xwing_tier4	imp_tie_interceptor_tier4	0		0	splitquest	both	assassinate:tatooine_rebel_tier4_3_a	assassinate:tatooine_rebel_tier4_3_b	0	0	0	Examining the stolen TIE ship didn't give much useful information to its origin. A lot of these ship types have been deployed in Endor though so the Alliance is suspecting that they might be manufactured there. The player is ordered to the Endor system to assist in an attack on an Imperial space station.	pilot_profession
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_advanced_tier4			0									
