questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:tatooine_rebel_tier4_4_b_battle_point	7	140	120	600	-750	100	-100	reb_awing_tier4	imp_decimator_tier4	0		0	none	triggerOn			0	0	0	The alliance have found another one of the new TIE Decimators and are sending over the Crimson Phoenix squad to take one out.	pilot_profession
									reb_xwing_tier4	imp_tie_aggressor_tier4			0									
									reb_xwing_tier4	imp_tie_fighter_tier4			0									
									reb_bwing_tier4	imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
