questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:naboo_imperial_tier4_spacebattle1	2	30	90	400	-400	300	300	imp_tie_fighter_tier4	coynite_coynfury_tier4	0		0	none	triggerOn			-1	0	0		pilot_profession
									imp_tie_fighter_tier4	coynite_merc_pulsar_tier4			0									
									imp_tie_fighter_tier4	coynite_merc_pulsar_tier4			0									
									imp_tie_interceptor_tier4	coynite_merc_pulsar_tier4			0									
									imp_tie_interceptor_tier4	coynite_merc_pulsar_tier4			0									
									imp_tie_interceptor_tier4	coynite_merc_quasar_tier4			0									
									imp_tie_interceptor_tier4	coynite_merc_quasar_tier4			0									
										coynite_merc_quasar_tier4			0									
										coynite_merc_quasar_tier4			0									
										coynite_merc_quasar_tier4			0									
										coynite_merc_quasar_tier4			0									
