questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_yavin4	space_yavin4:naboo_privateer_tier4_leg_4_space_battle_two	3	69	120	-400	400	-250	250	rsf_ace_tier4	blacksun_aggressor_tier4	0		0	none	triggerOn			0	0	0	This is if you won 4b	pilot_profession
									rsf_ace_tier4	blacksun_aggressor_tier4			0									
									rsf_ace_tier4	blacksun_bomber_s03_tier4			0									
									rsf_hunter_tier4	blacksun_bomber_s03_tier4			0									
									rsf_hunter_tier4	blacksun_gunship_tier4			0									
									rsf_rawl_tier4	blacksun_gunship_tier4			0									
									rsf_rawl_tier4	blacksun_marauder_tier4			0									
									rsf_stinger_tier4	blacksun_marauder_tier4			0									
									rsf_stinger_tier4	blacksun_marauder_tier4			0									
									rsf_stinger_tier4	blacksun_vehement_tier4			0									
										blacksun_vehement_tier4			0									
										blacksun_vehement_tier4			0									
													0									
													0									
