questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_endor	space_endor:corellia_rebel_tier4_4_c_battle_point	7	60	85	800	-850	150	-200	reb_xwing_tier4	imp_decimator_tier4	0		0	none	triggerOn			0	0	0	The Empire demands retaliation for the players attack on the freighters. Some of the Alliance reinforcements have reached the area to help the player.	pilot_profession
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
									reb_bwing_tier4	imp_tie_interceptor_tier4			0									
									nym_fighter_tier4	imp_tie_interceptor_tier4			0									
									nym_fighter_tier4	imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_oppressor_tier4			0									
										imp_tie_advanced_tier4			0									
