questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:corellia_rebel_tier4_1_a_battle_point	7	85	60	600	-850	50	-100	nym_enforcer_tier4	blacksun_fighter_s02_tier4	0		0	none	triggerOn			0	0	0	"After the player beat off the initial attack by the Black Suns, they are vulnerable and Nym plans to exploit that with a counter attack."	pilot_profession
									nym_enforcer_tier4	blacksun_fighter_s02_tier4			0									
									nym_enforcer_tier4	blacksun_fighter_s02_tier4			0									
									reb_xwing_tier4	blacksun_fighter_s03_tier4			0									
									reb_xwing_tier4	blacksun_fighter_s03_tier4			0									
										blacksun_fighter_s03_tier4			0									
										blacksun_marauder_tier4			0									
										blacksun_vehement_tier4			0									
										blacksun_marauder_tier4			0									
