questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:tatooine_rebel_tier4_1_battle_point	7	150	130	950	-750	300	-200	reb_awing_tier4	imp_tie_advanced_tier4	0		0	splitquest	both	assassinate:tatooine_rebel_tier4_1_a	patrol:tatooine_rebel_tier4_1_b	0	0	0	The Empire is testing out some of their new ships in the Dathomir system. The Alliance wants to give them a training they won't forget.	pilot_profession
									reb_awing_tier4	imp_tie_aggressor_tier4			0									
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
									reb_xwing_tier4	imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
