questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:corellia_imperial_tier4_battle1	4	30	90	400	-400	300	300	imp_tie_interceptor_tier4	tiberus_anderlock_tier5	0		0	splitquest	success	assassinate:corellia_imperial_tier4_4_d		-1	0	0		pilot_profession
									imp_tie_interceptor_tier4	velocity_merc_heavy_fighter_tier4			0									
									imp_tie_interceptor_tier4	velocity_merc_heavy_fighter_tier4			0									
									imp_tie_interceptor_tier4	velocity_merc_heavy_fighter_tier4			0									
									imp_tie_interceptor_tier4	velocity_merc_light_fighter_tier4			0									
										velocity_merc_light_fighter_tier4			0									
										velocity_merc_light_fighter_tier4			0									
										velocity_merc_med_fighter_tier4			0									
										velocity_merc_med_fighter_tier4			0									
										velocity_merc_med_fighter_tier4			0									
										velocity_merc_med_fighter_tier4			0									
