questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:naboo_rebel_tier4_4_a_battle_point	7	30	45	650	-750	100	-50	reb_bwing_tier4	imp_tie_advanced_tier4	0		0	none	triggerOn			0	0	0	"One of the Alliance bomber squadrons have been ambushed, the player is ordered to help them out."	pilot_profession
									reb_bwing_tier4	imp_tie_interceptor_tier4			0									
									reb_bwing_tier4	imp_tie_interceptor_tier4			0									
									reb_bwing_tier4	tieaggressor_inquisitor_tier4			0									
										tieinterceptor_inquisitor_guard			0									
										tieinterceptor_inquisitor_guard			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
