questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:corellia_rebel_tier4_3_battle_point	5	60	30	600	-1100	50	-200	nym_fighter_tier4	imp_imperial_gunboat_tier4	0		0	splitquest	both	space_battle:corellia_rebel_tier4_3_a	survival:corellia_rebel_tier4_3_b	0	0	0	The Alliance want Worvog's squad to assist in a guerilla strike on an Imperial space station in the Dathomir system. They are to pave the way for B-Wings torpedoing the station.	pilot_profession
									nym_fighter_tier4	imp_tie_fighter_tier4			0									
									nym_fighter_tier4	imp_tie_fighter_tier4			0									
									nym_fighter_tier4	imp_tie_fighter_tier4			0									
									nym_enforcer_tier5	imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_interceptor_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
										imp_tie_fighter_tier4			0									
