questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_corellia	space_corellia:naboo_privateer_tier3_leg_2_space_battle	4	68	104	-500	500	-250	250	rsf_hunter_tier3	aynat_intimidator_tier3	0		0	splitquest	success	rescue:naboo_privateer_tier3_2e		-1	0	0		pilot_profession
									rsf_stinger_tier3	aynat_outlaw_tier3			0									
									rsf_stinger_tier3	aynat_outlaw_tier3			0									
										aynat_vaporizer_tier3			0									
										aynat_vaporizer_tier3			0									
										aynat_vaporizer_tier3			0									
										aynat_viggo_tier3			0									
										aynat_outlaw_tier3			0									
													0									
													0									
													0									
													0									
