questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:naboo_imperial_tier3_spacebattle1	5	30	90	400	-400	300	300	imp_tie_interceptor_tier3	reb_xwing_tier3	0		0	splitquest	success	assassinate:naboo_imperial_tier3_4_c		-1	0	0		pilot_profession
									imp_tie_interceptor_tier3	reb_xwing_tier3			0									
									imp_tie_interceptor_tier3	reb_xwing_tier3			0									
									imp_tie_fighter_tier3	reb_awing_tier3			0									
									imp_tie_fighter_tier3	reb_ywing_tier3			0									
										reb_awing_tier3			0									
										reb_awing_tier3			0									
										reb_awing_tier3			0									
										reb_awing_tier3			0									
										reb_xwing_tier3			0									
