state	value	comment
s	I	c - these need to match states.def
Invalid	-1	
Cover	0	
Combat	1	
Peace	2	
Aiming	3	
Alert	4	
Berserk	5	
FeignDeath	6	
CombatAttitudeEvasive	7	
CombatAttitudeNormal	8	
CombatAttitudeAggressive	9	
Tumbling	10	
Rallied	11	
Stunned	12	
Blinded	13	
Dizzy	14	
Intimidated	15	
Immobilized	16	
Frozen	17	
Swimming	18	
SittingOnChair	19	
Crafting	20	
GlowingJedi	21	"Jedi master who has died. Can only walk around, chat, and train skills"
MaskScent	22	
Poisoned	23	
Bleeding	24	
Diseased	25	
OnFire	26	
RidingMount	27	
MountedCreature	28	
PilotingShip	29
ShipOperations	30
ShipGunner	31
ShipInterior	32
PilotingPobShip	33
PerformingDeathBlow	34
Disguised	35
ElectricBurned	36
ColdBurned	37
AcidBurned	38
EnergyBurned	39
KineticBurned	40
