spawns	name	boss	boss_name	boss_chance	script	loc_x	loc_y	loc_z	room	yaw	respawn_time
s	s	s[none]	s	i	s	f	f	f	s	f	i
borvo_ig_assassin_droid					theme_park.dungeon.generic_death	39.2563	-36	223.548	anteroom	176	180
borvo_ig_assassin_droid					theme_park.dungeon.generic_death	76.0399	-36	64.7182	armory	43	180
borvo_ig_assassin_droid					theme_park.dungeon.generic_death	70.4686	-36	111.959	leftguardroom	-92.0186	180
borvo_ig_assassin_droid					theme_park.dungeon.generic_death	-43.1332	-36	110.7	rightguardroom	-92.757	180
borvo_battle_droid					theme_park.dungeon.generic_death	-13.1745	-36	161.789	guardpost01	178.469	180
borvo_battle_droid					theme_park.dungeon.generic_death	-6.75894	-36	158.333	guardpost01	-164.043	180
borvo_battle_droid					theme_park.dungeon.generic_death	22.3599	-36	111.749	hallway02	77.6603	180
borvo_battle_droid					theme_park.dungeon.generic_death	-53.1245	-36	56.2157	kitchen	7.29555	180
borvo_blastromech					theme_park.dungeon.generic_death	29.9741	-36	240.808	anteroom	179.573	180
borvo_blastromech					theme_park.dungeon.generic_death	49.8749	-36	239.75	anteroom	-176.348	180
object/tangible/terminal/terminal_borvo_security_scanner.iff						10.2	-35	214.34	hallway05	270	
object/tangible/terminal/terminal_borvo_security_scanner.iff						0.800013	-35	227.7	hallway05	90	
object/tangible/terminal/terminal_borvo_security_scanner.iff						-13.8	-35	214.34	hallway05	-90	
object/tangible/terminal/terminal_borvo_security_scanner.iff						-25.8	-35	227.65	hallway05	90	
object/tangible/terminal/terminal_borvo_security_scanner.iff						-76.7	-35	223	elevatorroom01	180	
object/tangible/terminal/terminal_borvo_security_scanner.iff						-92.25	-35	223	elevatorroom01	0	
borvo_blastromech					theme_park.dungeon.generic_death	-0.240106	-36	142.933	hallway03	86.3665	180
borvo_blastromech					theme_park.dungeon.generic_death	105.182	-36	95.2998	hallway01	-2.37621	180
borvo_blastromech					theme_park.dungeon.generic_death	3.6187	-12	25.5294	transitionhall	0.044409	180
borvos_rancor					theme_park.dungeon.generic_death	-59.56	-36	192.03	greathall	-8	250
borvos_acklay	Enraged Acklay				theme_park.dungeon.generic_death	-108.85	-36	171.12	greathall	-8	540
borvo_blastromech					theme_park.dungeon.generic_death	21.9975	-36	142.195	hallway02	-173.536	180
object/tangible/container/drum/large_plain_crate_s01.iff	Locked Box				theme_park.dungeon.borvos_vault.loot_chest	29.7109	-36	172.034	elevator05	-179.41	180
object/tangible/container/drum/large_plain_crate_s01.iff	Locked Box				theme_park.dungeon.borvos_vault.loot_chest	54.5184	-36	182.328	guardpost02	-91.5811	180
object/tangible/container/drum/large_plain_crate_s02.iff	Locked Box				theme_park.dungeon.borvos_vault.loot_chest	18.5494	-36	200.983	quarters04	178.841	180
object/tangible/container/drum/large_plain_crate_s03.iff	Locked Box				theme_park.dungeon.borvos_vault.loot_chest	11.8163	-36	189.18	quarters04	-177.772	180
object/tangible/container/drum/large_plain_crate_s03.iff	Locked Box				theme_park.dungeon.borvos_vault.loot_chest	-17.3911	-36	241.059	quarters01	-12.3203	180
